ID,DOI,Title,Year,Authors,Venue,Abstract,Citations,Concepts,Relevance_Score,AL_Decision,LLM_Decision,LLM_Justification
https://openalex.org/W2800146971,https://doi.org/10.1080/14693062.2018.1467827,Carbon pricing in practice: a review of existing emissions trading systems,2018.0,Easwaran Narassimhan; Kelly Sims Gallagher; Stefan Koester; Julio Rivera Alejo,Climate Policy,"This article analyses the implementation of emissions trading systems (ETSs) in eight jurisdictions: the EU, Switzerland, the Regional Greenhouse Gas Initiative (RGGI) and California in the US, Québec in Canada, New Zealand, the Republic of Korea and pilot schemes in China. The article clarifies what is working, what isn’t and why, when it comes to the practice of implementing an ETS. The eight ETSs are evaluated against five main criteria: environmental effectiveness, economic efficiency, market management, revenue management and stakeholder engagement. Within each of these categories, ETS attributes − including abatement cost, stringency of the cap, improved allocation practices over time and the trajectory of price stability − are assessed for each system. Institutional learning, administrative prudence, appropriate carbon revenue management and stakeholder engagement are identified as key ingredients for successful ETS regimes. Recent implementation of ETSs in regions including California, Québec and South Korea indicates significant institutional learning from prior systems, especially the EU ETS, with these regions implementing more robust administrative and regulatory structures suitable for handling unique national and sub-national opportunities and constraints. The analysis also shows that there is potential for a ‘double dividend’ in emissions reductions even with a modest carbon price, provided the cap tightens over time and a portion of the auctioned revenues are reinvested in other emissions-reduction activities. Knowledge gaps exist in understanding the interaction of pricing instruments with other climate policy instruments and how governments manage these policies to achieve optimum emissions reductions with lower administrative costs.Key policy insights Countries are learning from each other on ETS implementation.Administrative and regulatory structures of ETS jurisdictions appear to evolve and become more robust in every ETS analysed.A ‘double dividend’ for emissions reductions may also exist in cases where mitigation occurs as a result of the ETS policy and when auction revenues are reinvested in other emissions-reduction activities.",488,Emissions trading; Greenhouse gas; Business; Carbon offset; Carbon fibers,0.75,Include,Include,Matches 9 inclusion term(s).
https://openalex.org/W2820610938,https://doi.org/10.1080/14693062.2018.1492897,Carbon taxes and greenhouse gas emissions trading systems: what have we learned?,2018.0,Erik Haites,Climate Policy,"Systematic evidence relating to the performance of carbon pricing – carbon taxes and greenhouse gas (GHG) emissions trading systems (ETSs) – is sparse. In 2015, 17 ETSs were operational in 55 jurisdictions while 18 jurisdictions collected a carbon tax. The papers in this special thematic section review the performance of many of these instruments over the 2005–2015 period. The performance of existing carbon taxes and GHG ETSs can help policy makers make informed choices about whether to introduce these instruments and to improve their design. The purpose of carbon pricing instruments is to reduce GHG emissions cost effectively. Assessing their performance is difficult because emissions are also affected by other policies and exogenous factors such as economic conditions. Carbon taxes in Europe prior to 2008 and in British Columbia reduced emissions from business-as-usual but actual emissions continued to rise. Since 2008 emissions subject to European carbon taxes have declined, but in most countries, other mitigation policies have probably contributed more to the reductions than the carbon taxes. Emissions subject to ETSs, with the exception of four systems without emissions caps, have declined. The ETSs contributed to the emissions reductions, but their share of the overall reduction is not known. Most tax rates are low relative to levels thought to be needed to achieve climate change objectives. Few jurisdictions regularly adjust their tax rates. All ETSs have accumulated surplus allowances and implemented measures to reduce these surpluses. The largest ETSs now specify annual reductions in their emissions cap several years into the future. Emissions trading system allowance prices are generally lower than the tax rates.Key policy insights Theoretical discussions usually portray carbon taxes and GHG ETSs as alternatives. In practice, a jurisdiction often implements both instruments to address emissions by different sources.Designs of ETSs have evolved based on experience shared bilaterally and via dedicated institutions.Carbon tax designs, in contrast, have hardly evolved and there are no institutions dedicated to sharing experience.Every jurisdiction with an ETS and/or carbon tax also has other policies that affect its GHG emissions.",338,Greenhouse gas; Emissions trading; Carbon tax; Natural resource economics; Business,0.75,Include,Include,Matches 9 inclusion term(s).
https://openalex.org/W3089879809,https://doi.org/10.1002/wcc.681,The effect of carbon pricing on technological change for full energy decarbonization: A review of empirical ex‐post evidence,2020.0,Johan Lilliestam; Anthony Patt; Germán Bersalli,Wiley Interdisciplinary Reviews Climate Change,"Abstract In order to achieve the temperature goals of the Paris Agreement, the world must reach net‐zero carbon emissions around mid‐century, which calls for an entirely new energy system. Carbon pricing, in the shape of taxes or emissions trading schemes, is often seen as the main, or only, necessary climate policy instrument, based on theoretical expectations that this would promote innovation and diffusion of the new technologies necessary for full decarbonization. Here, we review the empirical knowledge available in academic ex‐post analyses of the effectiveness of existing, comparatively high‐price carbon pricing schemes in the European Union, New Zealand, British Columbia, and the Nordic countries. Some articles find short‐term operational effects, especially fuel switching in existing assets, but no article finds mentionable effects on technological change. Critically, all articles examining the effects on zero‐carbon investment found that existing carbon pricing scheme have had no effect at all. We conclude that the effectiveness of carbon pricing in stimulating innovation and zero‐carbon investment remains a theoretical argument. So far, there is no empirical evidence of its effectiveness in promoting the technological change necessary for full decarbonization. This article is categorized under: Climate Economics &gt; Economics of Mitigation",186,Emissions trading; Investment (military); Economics; Carbon price; Climate change,0.75,Include,Include,Matches 9 inclusion term(s).
https://openalex.org/W1503957715,https://doi.org/10.3390/su70810684,Investment Strategy of Emission-Reduction Technology in a Supply Chain,2015.0,Gao Lou; Hai Tao Xia; Jie Zhang; Tijun Fan,Sustainability,"Greenhouse gas emissions have serious impacts on the natural environment. Therefore, the restrictions imposed on carbon emission force enterprises to take carbon emission into consideration when making production decisions. In this paper, in the context of allowing emission trading and investment of emission reduction technology, models were presented for a two-stage supply chain to analyze the optimal investment and pricing decisions. The results indicate that manufacturer’s endurance capacity of reduction difficulty is higher in the cooperation model than in the Stackelberg game model, and that perfect coordination of supply chains can be realized by a revenue sharing contract. From the perspective of a consumer, low-carbon products mean higher price, so that subsidies or tax exemptions should be provided to keep low prices. Meanwhile, the government can promote investment in emission-reduction technologies and achieve its emission reduction targets by controlling emission trading price, strengthening emission reduction publicity and providing technology investment subsidies.",107,Stackelberg competition; Greenhouse gas; Subsidy; Emissions trading; Investment (military),0.667,Include,Include,Matches 8 inclusion term(s).
https://openalex.org/W2792027006,https://doi.org/10.1080/14693062.2018.1437018,The impact of the Tokyo Metropolitan Emissions Trading Scheme on reducing greenhouse gas emissions: findings from a facility-based study,2018.0,Masayo Wakabayashi; Osamu Kimura,Climate Policy,"This paper provides a detailed analysis of the Tokyo Metropolitan Emissions Trading Scheme (Tokyo ETS), Japan’s first emissions trading scheme with mandatory cap initiated by the government of Tokyo. Unlike trading schemes in other countries, the Tokyo ETS covers indirect emissions from the commercial sector. It is well known that a variety of market barriers impede full realization of energy efficiency opportunities, especially in the commercial sector. Experiences with the Tokyo ETS should therefore provide important lessons for the design of climate change mitigation policies, especially when targeting the commercial sector. The emissions from covered entities have been drastically reduced from those at the scheme’s outset, with an average 14% reduction as of the end of the first commitment period of five years (2010–2014) compared with 2009 levels. This paper shows that the Tokyo ETS alone did not cause these reductions; there were other drivers. Among them, the energy savings triggered by the Great East Japan Earthquake in 2011 were crucial. The contribution of credit trading, in contrast, was limited since most of the covered entities reduced emissions by themselves. Through an investigation of official reports, an assessment of the emissions data from the covered entities compared to those of uncovered entities and in-depth interviews with firms covered by the scheme, this paper confirms that the main drivers of emissions reductions by covered entities were separate from the ETS. In fact, the advisory aspect of the scheme seems to be much more important in encouraging energy-saving actions.Key policy insights Most of the observed emission reductions were not caused by the Tokyo ETS alone.An advisory instrument was crucial to the effectiveness of the Tokyo ETS.The experience of the Tokyo ETS suggests that making full use of the advantages of emissions trading is difficult in the case of the commercial sector.Price signals have not provided a stimulus to climate change mitigation actions, which implies that establishing a cap to yield effective carbon prices poses a challenge.",52,Emissions trading; Greenhouse gas; Metropolitan area; Business; Clean Development Mechanism,0.667,Include,Include,Matches 8 inclusion term(s).
https://openalex.org/W2149397525,https://doi.org/10.3386/w13980,Analysis of U.S. Greenhouse Gas Tax Proposals,2008.0,Gilbert E. Metcalf; Sergey Paltsev; John M. Reilly; Henry D. Jacoby; Jennifer F. Holak,National Bureau of Economic Research,"The U.S. Congress is considering a set of bills designed to limit the nation's greenhouse gas (GHG) emissions. This paper complements the analysis by Paltsev et al. (2007) of cap-and-trade bills and applies the MIT Emissions Prediction and Policy Analysis (EPPA) model to carry out an analysis of the tax proposals. Several lessons emerge from this analysis. First, a low starting tax rate combined with a low rate of growth in the tax rate will not reduce emissions significantly. Second, the costs of GHG reductions are reduced with the inclusion of non-CO2 gases in the carbon tax scheme. Third, welfare costs of the policies can be affected by the rate of growth of the tax, even after controlling for cumulative emissions. Fourth, a carbon tax --like any form of carbon pricing --is regressive. However, general equilibrium considerations suggest that the short-run measured regressivity may be overstated. Additionally, the regressivity can be offset with a carefully designed rebate of some or all of the revenue. Finally, the carbon tax bills that have been proposed or submitted are for the most part comparable to many of the carbon cap-and-trade proposals that have been suggested. Thus the choice between a carbon tax and cap-and-trade system can be made on the basis of considerations other than their effectiveness at reducing emissions over some control period.",39,Greenhouse gas; Environmental science; Economics; Geology; Oceanography,0.667,Include,Include,Matches 8 inclusion term(s).
https://openalex.org/W4226200120,https://doi.org/10.1007/s10640-022-00679-w,Does a Carbon Tax Reduce CO2 Emissions? Evidence from British Columbia,2022.0,Felix Pretis,Environmental and Resource Economics,"Abstract Using difference-in-differences, synthetic control, and introducing a new break-detection approach, I show that the introduction of North America’s first major carbon tax has reduced transportation emissions but not ‘yet’ led to large statistically significant reductions in aggregate CO 2 emissions. Proposing a new method to assess policy based on breaks in difference-in-differences using machine learning, I demonstrate that neither carbon pricing nor trading schemes in other provinces are detected as large and statistically significant interventions. Instead, closures and efficiency-improvements in emission-intense industries in untaxed provinces have reduced emissions. Overall, the results show that existing carbon taxes (and prices) are likely too low to be effective in the time frame since their introduction.",139,Carbon tax; Greenhouse gas; Significant difference; Difference in differences; Economics,0.583,Include,Include,Matches 7 inclusion term(s).
https://openalex.org/W4396956648,https://doi.org/10.1038/s41467-024-48512-w,Systematic review and meta-analysis of ex-post evaluations on the effectiveness of carbon pricing,2024.0,Niklas Döbbeling; Klaas Miersch; Tarun Khanna; Marion Bachelet; Stephan B. Bruns,Nature Communications,"Today, more than 70 carbon pricing schemes have been implemented around the globe, but their contributions to emissions reductions remains a subject of heated debate in science and policy. Here we assess the effectiveness of carbon pricing in reducing emissions using a rigorous, machine-learning assisted systematic review and meta-analysis. Based on 483 effect sizes extracted from 80 causal ex-post evaluations across 21 carbon pricing schemes, we find that introducing a carbon price has yielded immediate and substantial emission reductions for at least 17 of these policies, despite the low level of prices in most instances. Statistically significant emissions reductions range between -5% to -21% across the schemes (-4% to -15% after correcting for publication bias). Our study highlights critical evidence gaps with regard to dozens of unevaluated carbon pricing schemes and the price elasticity of emissions reductions. More rigorous synthesis of carbon pricing and other climate policies is required across a range of outcomes to advance our understanding of ""what works"" and accelerate learning on climate solutions in science and policy.",126,Meta-analysis; Computer science; Medicine; Internal medicine,0.583,Include,Include,Matches 7 inclusion term(s).
https://openalex.org/W2810502102,https://doi.org/10.1016/j.enpol.2018.06.020,Carbon pricing and deep decarbonisation,2018.0,Endre Tvinnereim; Michael Mehling,Energy Policy,"Experts frequently point to carbon pricing as the most cost-effective tool for reducing greenhouse gas emissions. Empirical studies show that carbon pricing can successfully incentivise incremental emissions reductions. But meeting temperature targets within defined timelines as agreed under the Paris Agreement requires more than incremental improvements: it requires achieving net zero emissions within a few decades. To date, there is little evidence that carbon pricing has produced deep emission reductions, even at high prices. While much steeper carbon prices may deliver greater abatement, political economy constraints render their feasibility doubtful. An approach with multiple instruments, including technology mandates and targeted support for innovation, is indispensable to avoid path dependencies and lock-in of long-lived, high-carbon assets. We argue that carbon pricing serves several important purposes in such an instrument mix, but also that the global commitment to deep decarbonisation requires acknowledging the vital role of instruments other than carbon pricing.",248,Greenhouse gas; Timeline; Carbon price; Carbon fibers; Environmental economics,0.583,Include,Include,Matches 7 inclusion term(s).
https://openalex.org/W2777535358,https://doi.org/10.3386/w17569,The Promise and Problems of Pricing Carbon: Theory and Experience,2011.0,Joseph E. Aldy; Robert N. Stavins,National Bureau of Economic Research,"Because of the global commons nature of climate change, international cooperation among nations will likely be necessary for meaningful action at the global level. At the same time, it will inevitably be up to the actions of sovereign nations to put in place policies that bring about meaningful reductions in the emissions of greenhouse gases. Due to the ubiquity and diversity of emissions of greenhouse gases in most economies, as well as the variation in abatement costs among individual sources, conventional environmental policy approaches, such as uniform technology and performance standards, are unlikely to be sufficient to the task. Therefore, attention has increasingly turned to market-based instruments in the form of carbon-pricing mechanisms. We examine the opportunities and challenges associated with the major options for carbon pricing: carbon taxes, cap-and-trade, emission reduction credits, clean energy standards, and fossil fuel subsidy reductions.",159,Economics; Mathematical economics,0.583,Include,Include,Matches 7 inclusion term(s).
