ID,DOI,Title,Year,Authors,Venue,Abstract,Citations,Concepts,Relevance_Score,AL_Decision,LLM_Decision,LLM_Justification
10.3390/land15040683,10.3390/land15040683,Predicting Urban Heat Island Mitigation Through Green Infrastructure on Post-Demolition Vacant Land,2026.0,Park Yoonsun; Lee Dong Kun,Land,"<jats:p>Rapid urbanization and the decline of inner-city areas have led to a sharp increase in vacant houses in large cities. Cities are increasingly converting vacant land into green space to mitigate associated negative externalities. This study quantifies the urban heat island (UHI) mitigation effects of green infrastructure using meta-analysis and applies the derived relationships to predict both on-site and surrounding cooling effects for vacant land. First, we conducted a meta-analysis of published studies reporting the cooling effects of green infrastructure and derived regression equations relating green-space area to (i) cooling within the green space, (ii) cooling in the surrounding area, and (iii) the spatial extent of the cooling effect. Second, we applied these equations to two high-density areas in Sungui-dong, Nam-gu, Incheon, Republic of Korea. The results suggest that introducing a neighborhood park at Site A (7559.5 m2) would reduce air temperature by up to 2.751 °C within the park and by 1.507 °C up to 62 m beyond the park boundary. A pocket park at Site C (992.1 m2) would reduce air temperature by up to 2.269 °C within the park and by approximately 0.92 °C in the surrounding area. These findings provide quantitative evidence that green infrastructure can serve as an effective environmental intervention and support the adoption of climate-responsive urban regeneration policies.</jats:p>",,,0.667,Include,Include,Matches 8 inclusion term(s).
10.5194/egusphere-egu26-21529,10.5194/egusphere-egu26-21529,Cooling trajectories in Commercial areas for Urban Heat Island (UHI) mitigation,2026.0,Akiki Rita; Barroca Bruno; Leone Mattia; Carcanis Georges,,"<jats:p>Climate change and rising temperatures are established facts, forcing cities to face a reality to which they must adapt. ""On June 28, 2019, a temperature of 45,9°C was recorded at a weather station in France, exceeding the country's previous temperature record; set during the infamous 2003 heatwave; by almost 2°C"" (Mitchell, D &amp; al. 2019). Several studies have also established that heatwaves were enhanced by human-induced climate change and activities (Mitchell, D &amp; al. 2019). Therefore, it is crucial to develop clear local plans to adapt to and mitigate the impacts of these heatwaves, which are directly associated with increased heat-related mortality.This study aims to determine tools to analyze various cooling trajectories. It is centered on commercial areas, which are mostly vast territories on the outskirts of cities. These zones emerged around 1960, often at city entrances near highway interchanges, and are directly connected to regional or national roads (Verhetsel, A. 2019). They often include shopping centers where marketing and consumption dominate. The urbanization of the suburbs by middle class residents and the rise of car use contributed to their emergence. The principle of ""no parking, no business"" governs the spatial organization of these areas (Kervran, P. 2021). Therefore, commercial zones also contribute to the climate change adaptation trajectories of the city. The urban heat island effect is an important factor to consider when talking about climate change and heatwaves. Therefore, urban cooling strategies play a crucial role in studying climate change adaptation. Cities are very different in their organization, density, size, and history, but they all share a common denominator: human beings. Which also means that discussing thermal comfort for users, both during and outside of heatwaves is very important in urban areas (Abdollahzadeh, N., &amp; Biloria, N. 2020; Aghamolaei, R. 2022). This raises other challenges, such as managing and maintaining the solutions implemented for climate adaptation. Also, several studies have shown many cooling solutions to be very effective and the ADEME (Agence de la transition écologique - Agency for ecological transition in France) has published a document presenting various solutions supported by measurements and data to combat urban overheating. It has classified them in three main groups :  the nature-based ""green and blue"", the ""gray"" solutions, and the soft solutions. We can therefore say that effective solutions exist and that the current challenge lies primarily in more frequent implementation. However, for these solutions to function optimally and achieve urban cooling, it is necessary to consider the components of the larger urban system (ADEME, 2021). Also, to understand the functioning of a city, it is important to understand it's urban dynamics. These are often composed of interrelations around a decision-making center, with several overlapping urban components (PAULET Jean-Pierre, 2009).The overall goal of this study is to create a detailed understanding of how urban cooling solutions evolve over time, how they interact with stakeholders, and how they contribute to the urban system. Keywords: climate change, urban heat island, cooling solutions, trajectory, mitigation, adaptation, commercial areas.</jats:p>",,,0.667,Include,Include,Matches 8 inclusion term(s).
10.3390/earth5040031,10.3390/earth5040031,Is Zagreb Green Enough? Influence of Urban Green Spaces on Mitigation of Urban Heat Island: A Satellite-Based Study,2024.0,Krsnik Goran,Earth,"<jats:p>The urban heat island phenomenon is a climatic condition in which urbanized areas exhibit higher temperature values than their natural surroundings. This occurs due to an unbalanced energy budget caused by the extensive use of synthetic materials. In such a scenario, urban green areas act as stressors to mitigate the intensity of the urban heat island and improve urban well-being. This study analyzes the spatial-temporal characteristics of the urban heat island in Zagreb, Croatia, aiming to examine the role of different types of green infrastructure in mitigating elevated temperature values and facilitating the definition of greener planning strategies. To achieve this, a multitemporal remote sensing- and NDVI-based analysis was conducted for the time series 1984–2014. An urban heat island intensity map was obtained for the selected 30-year period, along with thermal graphs registering land surface temperature values among different city districts. The results reveal significant heterogeneity, displaying variable behavior dependent on the city district. The role of Zagreb’s urban green areas in urban heat island mitigation is evident but largely dependent on urban morphology, construction types, and periods. Urban forests and urban parks play the most significant role in temperature reduction, followed by residential building neighborhoods and extensive neighborhoods consisting of familiar houses with gardens. Continuously built areas, such as the city center and industrial zones, are less prone to registering lower intensity values. Additionally, multitemporal intensity variations based on land use changes are registered in several districts.</jats:p>",,,0.667,Include,Include,Matches 8 inclusion term(s).
10.17918/etd-7596,10.17918/etd-7596,The potential role of green infrastructure in the mitigation of the urban heat island,,; Smalls-Mantey Lauren A.; Montalto Franco,,"<jats:p>Extreme precipitation and extreme heat are two of the most significant environmental challenges facing urban environment this decade. Current climate change predictions estimate extreme events will increase in intensity and frequency, making cities more susceptible to fatalities. Nature-based solutions can be used to adapt and mitigate the impact of extreme events. Over the past decade, cities have installed stormwater green infrastructure (SGI) to capture, treat, infiltrate, and evapotranspire stormwater. The aggressive installation of these facilities has introduced new vegetation into the urban environment, creating the opportunity for SGI to reduce urban temperatures through evapotranspiration and shading. Previous research has focused on the performance of SGI to capture stormwater and the ability of vegetation to reduce temperatures, separately. However, this dissertation is a comprehensive study, exploring the multiple benefits SGI can provide. The aim of this study was to quantify the role of SGI in the reduction of air temperatures. The microclimate and surface energy balance of two ground level bioretention SGI facilities and one green roof were analyzed. Furthermore, a 3D microclimate model simulated the extent of influence of individual and aggregate SGI facilities. Results of this thesis can be used by neighborhood planners and designers to justify the implementation of SGI facilities in heat vulnerable neighborhoods. Design recommendations explain how to achieve the maximum SGI benefits available in neighborhoods that are located in both heat vulnerable and priority stormwater watersheds.</jats:p>",,,0.583,Include,Include,Matches 7 inclusion term(s).
10.3390/urbansci4040078,10.3390/urbansci4040078,Mitigation of Urban Heat Island Effects through “Green Infrastructure”: Integrated Design of Constructed Wetlands and Neighborhood Development,2020.0,Ruiz-Aviles Victor; Brazel Anthony; Davis Jonathan M.; Pijawka David,Urban Science,"<jats:p>Extreme heat threatens desert city residents throughout the hot summer months and inhibits outdoor recreation and activity. Ecosystem services provide various benefits for urban environments. For desert cities, few are more critical than microclimate regulation and water treatment and conservation. This study evaluates the degree to which artificial wetlands support cooler microclimates and reduce the local urban heat island effect. The authors use (a) remotely sensed temperature data for Avondale, Arizona, to measure temperature differences between neighborhoods with and without water features and (b) resident surveys to evaluate perceptions of potential cooling effects. Results show substantial differences in the daytime surface temperatures for the wetland neighborhood compared to those without water features. More than a third of residents perceived a cooling effect throughout the year. The authors conclude that artificial wetlands within a desert city increase human comfort by reducing surface and air temperature and should be considered an urban heat island mitigation strategy.</jats:p>",,,0.583,Include,Include,Matches 7 inclusion term(s).
10.5194/egusphere-egu21-15362,10.5194/egusphere-egu21-15362,Evaluating the Effect of Green Infrastructure in Mitigating the Urban Heat Island Effect Using Remote Sensing,2021.0,Fidani Sofia; Daliakopoulos Ioannis; Manios Thrassyvoulos; Grillakis Manolis; Charalampopoulou Vasiliki,,"<jats:p>&amp;lt;p&amp;gt;Urban green infrastructure in the form of green roofs and vertical gardens is gradually becoming a mainstream development option to mitigate the negative impacts of dense urbanization, and primarily those associated with the urban heat island effect and the consequent vulnerability due to climate change (Nektarios and Ntoulas, 2017). Nevertheless, the quantification of the effect of green infrastructure in comparison to conventional infrastructure as well as tree parks and gardens, can be a challenge in a rapidly changing urban environment, especially due to historical gaps in environmental parameter monitoring. Here we propose the use of land surface temperature (LST) [&amp;lt;sup&amp;gt;o&amp;lt;/sup&amp;gt;C] produced using freely available LandSat imagery at 30 m resolution, to evaluate the effect of green infrastructure on urban surface temperature. The method relies on the comparison of historical LST timeseries of an area of interest which has undergone urban greening interventions with adjacent city blocks that have retained their conventional urban character. The method is applied to evaluate the impact of the recently constructed Eco Campus Orange (ECO) garden, which has resulted from the renovation of 4 city blocks in Paris, France. Within an area over 3 ha, ECO employs environmentally friendly materials and 100,000 plants to feature 2,300 m&amp;lt;sup&amp;gt;2&amp;lt;/sup&amp;gt; of green wall and &amp;amp;#8220;the largest green roof of Europe&amp;amp;#8221;. For the area of interest, over 250 LandSat 5, 7, and 8 multispectral images dating from 2010 to 2020, were analyzed after Ermida et al. (2020). Results show that, since its construction, LST at ECO quickly dropped by over 2 &amp;lt;sup&amp;gt;o&amp;lt;/sup&amp;gt;C, reaching the LST levels of adjacent urban parks. The method is ideal for ambient temperature timeseries reconstruction where long-term monitoring is sparce and can be applied to evaluate drastic landscape changes such as urban greening or vegetation thinning.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;lt;strong&amp;gt;References&amp;lt;/strong&amp;gt;&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;Ermida, S.L., Soares, P., Mantas, V., G&amp;amp;#246;ttsche, F.M., Trigo, I.F., 2020. Google earth engine open-source code for land surface temperature estimation from the landsat series. Remote Sens. https://doi.org/10.3390/RS12091471&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;Nektarios, P.A., Ntoulas, N., 2017. Designing green roofs for arid and semi-arid climates. The route towards the adaptive approach, in: Acta Horticulturae. International Society for Horticultural Science, pp. 197&amp;amp;#8211;202. https://doi.org/10.17660/ActaHortic.2017.1189.39&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;lt;strong&amp;gt;Acknowledgements&amp;lt;/strong&amp;gt;&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;The research was co-financed by the European Union and Greek national funds through the Operational Program RIS3Crete (COMPOLIVE: &amp;amp;#922;&amp;amp;#929;&amp;amp;#919;&amp;amp;#929;3-0028773)&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;The research of MG was co-financed by the European Union and Greek national funds through the Operational Program &amp;quot;Human Resource Development, Education and Lifelong Learning&amp;quot;, under the Act &amp;quot;STRENGTHENING post-doctoral fellows / researchers - B cycle&amp;quot; (MIS 5033021) implemented by the State Scholarship Foundation.&amp;lt;/p&amp;gt;</jats:p>",,,0.583,Include,Include,Matches 7 inclusion term(s).
10.4314/jfas.v13i1.12,10.4314/jfas.v13i1.12,Quantifying the effect of green-roof and urban green infrastructure ratio on urban heat island mitigation -semi-arid climate,2021.0,Sahnoune S .; Benhassine N .; Bourbia F.; Hadbaoui H.,Journal of Fundamental and Applied Sciences,"<jats:p>Green Roof (GR) is one of the most applied strategies to Mitigate Urban Heat Island (UHI) recommended for sustainable cities. This research aims to examine and evaluate the effect of the GR/UGI ratio on UHI mitigation, creating Urban Cool Island (UCI). The study was carried out at Constantine, situated in the East part of Algeria, characterized by a semi-arid climate with high summer solar radiation intensity. An urban climate analysis was conducted during the hottest period of the year by means of remote sensing data using ArcGIS 10.2 platform. The results displayed that vegetation, urban density, and topography strongly affect UHI. Furthermore, other finding results in this research show that fixing GR/UGI ratio (with 0.0063 reduced the average air temperature by 1.24°C) in a large-scale urban area, can reduce the surface temperature by 4.00 degrees of the studied area.</jats:p>",,,0.583,Include,Include,Matches 7 inclusion term(s).
10.3390/w15162983,10.3390/w15162983,Assessing the Cooling Effect of Blue-Green Spaces: Implications for Urban Heat Island Mitigation,2023.0,Pritipadmaja; Garg Rahul Dev; Sharma Ashok K.,Water,"<jats:p>The Urban Heat Island (UHI) effect is a significant concern in today’s rapidly urbanising cities, with exacerbating heatwaves’ impact, urban livelihood, and environmental well-being. This study aims to assess the cooling effect of blue-green spaces in Bhubaneswar, India, and explore their implications for mitigating UHI effects. Satellite images were processed with Google Earth Engine (GEE) to produce information on the blue-green spaces’ land surface temperatures (LST). The Normalised Difference Vegetation Index (NDVI) and Modified Normalised Difference Water Index (MNDWI) were employed to quantify the presence and characteristics of these blue-green spaces. The findings revealed significant spatial variations in the LST, with higher temperatures observed in bare land and built-up areas and lower temperatures in proximity to the blue-green spaces. In addition, a correlation analysis indicated the strong influence of the built-up index (NDBI) on the LST, emphasising the impact of urbanisation on local climate dynamics. The analysis demonstrated the potential of blue-green spaces in reducing surface temperatures and mitigating UHI effects. Based on these results, strategic interventions were proposed, such as increasing the coverage of green spaces, optimising access to water bodies, and integrating water-sensitive design principles into urban planning to enhance the cooling effects and foster a more sustainable and resilient urban environment. This study highlighted the importance of leveraging remote sensing and GEE for urban UHI analyses. It provides valuable insights for policymakers and urban planners to prioritise nature-based solutions for heat mitigation in Bhubaneswar and other similar cities. Future research could delve deeper into a quantitative assessment of the cooling benefits of specific blue-green infrastructure interventions and explore their socio-economic impacts on urban communities.</jats:p>",,,0.583,Include,Include,Matches 7 inclusion term(s).
10.4018/978-1-6684-2462-9.ch005,10.4018/978-1-6684-2462-9.ch005,Blue-Green Infrastructure for Heat Exposure Mitigation,2022.0,Faragallah Riham Nady,Advances in Civil and Industrial Engineering,"<jats:p>Global and regional warming phenomena drive the effect of climate change on cities. Research on urban heat adaptation strategies has been growing, with many studies concentrating on blue and green infrastructure (BGI) as an alternative to grey infrastructure and to minimise the adverse effects of urban heat islands. Building upon investigating the case of Germany, this chapter presents mitigation strategies for Alexandria, Egypt that can reduce the temperature at the urban design level and identify urban heat island effects through BGI and their performance, as well as their importance in achieving sustainable urban development and low-temperature cities. The lessons learned show that BGI is a new approach to city planning that can minimise the impact of human development on functioning natural systems, the quality of life, and the economic consequences. A set of BGI guidelines for Alexandria on how to keep cities cool and improve the city's environment were agreed upon.</jats:p>",,,0.5,Include,Include,Matches 6 inclusion term(s).
10.1016/j.solener.2012.07.003,10.1016/j.solener.2012.07.003,Cooling the cities – A review of reflective and green roof mitigation technologies to fight heat island and improve comfort in urban environments,2014.0,Santamouris M.,Solar Energy,,,,0.5,Include,Include,Matches 6 inclusion term(s).
