ID,DOI,Title,Year,Authors,Venue,Abstract,Citations,Concepts,Relevance_Score,AL_Decision,LLM_Decision,LLM_Justification
https://openalex.org/W2890673643,https://doi.org/10.1371/journal.pone.0203156,Scientific impact increases when researchers publish in open access and international collaboration: A bibliometric analysis on poverty-related disease papers,2018,J. Gabrielle Breugelmans; Guillaume Roberge; Chantale Tippett; Matt Durning; David Brooke Struck,PLoS ONE,"BACKGROUND: The European & Developing Countries Clinical Trials Partnership (EDCTP), like many other research funders, requires its grantees to make papers available via open access (OA). This article investigates the effect of publishing in OA journals and international collaboration within and between European and sub-Saharan African countries on citation impact and likelihood of falling into the top 1% and top 10% most cited papers in poverty-related disease (PRD) research. METHODS: Disease-specific research publications were identified in the Web of Science™ and MEDLINE using Medical Subject Heading (MeSH) terms. Data on the open accessibility of scientific literature were derived from 1science oaFindr. Publication data, including relative citation counts, were extracted for 2003-2015. Regression models were applied to quantify the relationship between relative citations and presence in the 1% and top 10% most cited papers versus OA and international collaboration. RESULTS: The results show that since 2003 papers on PRDs have become increasingly available in OA. Among all PRD areas, malaria research is most frequently published in OA and in international collaboration. The adjusted regression analyses show that holding other factors constant, publishing research in OA and in international collaboration has a significant and meaningful citation advantage over non-OA or non-international collaborative research. Publishing papers as part of a European-wide or European- sub-Saharan African collaboration increases research impact. In contrast, such collaboration advantage is not observed for research output involving sub-Saharan Africa only which seems to decrease research impact. CONCLUSIONS: Our results indicate that there is a real, measurable citation advantage for publishing PRD research in OA and international collaboration. However, the international collaboration advantage seems to be region-specific with increased research impact for European-wide and European-sub-Saharan African collaborations but a decrease in research impact of collaborations confined to sub-Saharan African research institutions. Further research is required to further verify this finding and to understand the underlying factors related to this observed decrease in research impact. To target future research capacity building activities in sub-Saharan Africa it is important to assess whether the observed decreased impact reflects the scientific competencies and geographic distribution of individual researchers or institutional-, national- or funder-specific research requirements.",86,Citation; Bibliometrics; Citation impact; Publishing; Impact factor,0.636,Include,Include,Matches 7 inclusion term(s).
https://openalex.org/W1779186210,,The Impact Factor of Open Access journals: data and trends,2010,Elena Giglia,E-LIS Repository (University of Naples Federico II),"&lt;p&gt;In recent years, a large debate has arisen about the citation advantage of Open Access (OA). Many studies have been conducted on different datasets and according to different perspectives, which led to different and somehow contradictory results depending on the considered disciplinary field, the researchers’ attitude and citational behaviour, and the applied methodology. One of the bibliometric indicators most used worldwide to measure citations is Impact Factor – not free from criticisms and reservations – but it has only been tested on Open Access journals once, in 2004.The aim of this preliminary work, focused on “Gold” Open Access, is to test the performance of Open Access journals with the most traditional bibliometric indicator – Impact Factor, to verify the hypothesis that unrestricted access might turn into more citations and therefore also good Impact Factor indices. Other indicators, such as Immediacy Index and 5-year Impact Factor, will be tested too. The preliminary step of the work was fixing the list of Open Access journals tracked by Thomson Reuters in «Journal Citation Reports» (JCR). JCR was compared to the Directory of Open Access Journals (DOAJ) as of 31 December of the corresponding year.As to coverage, Open Access journals in «Journal Citation Reports» are still a small percentage, even though there has been a large increase since 2003 in the Science edition (from 1.47% to 5.38%), less visible in the Social Science edition (from 1.05% to 1.52%, with a slight decrease from the 2007 1.71%).In order to obtain comparable data, absolute Impact Factor or Immediacy Index values were not considered, but rather converted into percentiles for each category. The rank of the Open Access journals was analyzed in each single category. The titles were then clustered in disciplinary macro-areas, and data were aggregated.Open Access journals in JCR 2008 Social Sciences edition rank in the top fifty percentiles (0-50) with a 54.5% share.With substantial differences between macro-areas, in JCR 2008 Science edition Open Access journals rank in the top fifty percentiles (0-50) with a 38.62% share when considering Impact Factor, and with a 37.68% share referring to Immediacy Index. When considering 5-year Impact Factor, the share is 40.45%.Open Access journals are relatively new actors in the publishing market, and gaining reputation and visibility is a complex challenge. Some of them show impressive Impact Factor trends since their first year of tracking. The collected data show that the performance of Open Access journals, also tested with the most traditional bibliometric indicator, is quite good in terms of citations.&lt;/p&gt;",27,Impact factor; Computer science; Percentile; Data science; Rank (graph theory),0.636,Include,Include,Matches 7 inclusion term(s).
https://openalex.org/W2045816279,https://doi.org/10.3354/esep00076,Google Scholar as a new source for citation analysis,2007,AWK Harzing; René van der Wal,Ethics in Science and Environmental Politics,"Traditionally, the most commonly used source of bibliometric data is Thomson ISI Web of Knowledge, in particular the Web of Science and the Journal Citation Reports (JCR), which provide the yearly Journal Impact Factors (JIF). This paper presents an alternative source of data (Google Scholar, GS) as well as 3 alternatives to the JIF to assess journal impact (h-index, g-index and the number of citations per paper). Because of its broader range of data sources, the use of GS generally results in more comprehensive citation coverage in the area of management and international business. The use of GS particularly benefits academics publishing in sources that are not (well) covered in ISI. Among these are books, conference papers, non-US journals, and in general journals in the field of strategy and international business. The 3 alternative GS-based metrics showed strong correlations with the traditional JIF. As such, they provide academics and universities committed to JIFs with a good alternative for journals that are not ISI-indexed. However, we argue that these metrics provide additional advantages over the JIF and that the free availability of GS allows for a democratization of citation analysis as it provides every academic access to citation data regardless of their institution's financial means.",686,Citation; Impact factor; Library science; Publishing; Bibliometrics,0.545,Include,Include,Matches 6 inclusion term(s).
https://openalex.org/W2089604928,https://doi.org/10.1371/journal.pbio.0040157,Citation Advantage of Open Access Articles,2006,Günther Eysenbach,PLoS Biology,"Open access (OA) to the research literature has the potential to accelerate recognition and dissemination of research findings, but its actual effects are controversial. This was a longitudinal bibliometric analysis of a cohort of OA and non-OA articles published between June 8, 2004, and December 20, 2004, in the same journal (PNAS: Proceedings of the National Academy of Sciences). Article characteristics were extracted, and citation data were compared between the two groups at three different points in time: at ""quasi-baseline"" (December 2004, 0-6 mo after publication), in April 2005 (4-10 mo after publication), and in October 2005 (10-16 mo after publication). Potentially confounding variables, including number of authors, authors' lifetime publication count and impact, submission track, country of corresponding author, funding organization, and discipline, were adjusted for in logistic and linear multiple regression models. A total of 1,492 original research articles were analyzed: 212 (14.2% of all articles) were OA articles paid by the author, and 1,280 (85.8%) were non-OA articles. In April 2005 (mean 206 d after publication), 627 (49.0%) of the non-OA articles versus 78 (36.8%) of the OA articles were not cited (relative risk = 1.3 [95% Confidence Interval: 1.1-1.6]; p = 0.001). 6 mo later (mean 288 d after publication), non-OA articles were still more likely to be uncited (non-OA: 172 [13.6%], OA: 11 [5.2%]; relative risk = 2.6 [1.4-4.7]; p < 0.001). The average number of citations of OA articles was higher compared to non-OA articles (April 2005: 1.5 [SD = 2.5] versus 1.2 [SD = 2.0]; Z = 3.123; p = 0.002; October 2005: 6.4 [SD = 10.4] versus 4.5 [SD = 4.9]; Z = 4.058; p < 0.001). In a logistic regression model, controlling for potential confounders, OA articles compared to non-OA articles remained twice as likely to be cited (odds ratio = 2.1 [1.5-2.9]) in the first 4-10 mo after publication (April 2005), with the odds ratio increasing to 2.9 (1.5-5.5) 10-16 mo after publication (October 2005). Articles published as an immediate OA article on the journal site have higher impact than self-archived or otherwise openly accessible OA articles. We found strong evidence that, even in a journal that is widely available in research libraries, OA articles are more immediately recognized and cited by peers than non-OA articles published in the same journal. OA is likely to benefit science by accelerating dissemination and uptake of research findings.",828,Citation; Confidence interval; Confounding; Logistic regression; Bibliometrics,0.545,Include,Include,Matches 6 inclusion term(s).
https://openalex.org/W2802321208,https://doi.org/10.1002/asi.24029,Exploring possibilities to use bibliometric data to monitor gold open access publishing at the national level,2018,Thed N. van Leeuwen; Clifford Tatum; Paul Wouters,Journal of the Association for Information Science and Technology,"This article describes the possibilities to analyze open access (OA) publishing in the Netherlands in an international comparative way. OA publishing is now actively stimulated by Dutch science policy, similar to the United Kingdom. We conducted a bibliometric baseline measurement to assess the current situation, to be able to measure developments over time. We collected data from various sources, and for three different smaller European countries (the Netherlands, Denmark, and Switzerland). Not all of the analyses for this baseline measurement are included here. The analysis presented in this article focuses on the various ways OA can be defined using the Web of Science, limiting the analysis mainly to Gold OA. From the data we collected we can conclude that the way OA is currently registered in various electronic bibliographic databases is quite unclear, and various methods applied deliver results that are different, although the impact scores derived from the data point in the same direction.",24,Publishing; Baseline (sea); Limiting; Web of science; Open data,0.545,Include,Include,Matches 6 inclusion term(s).
https://openalex.org/W2266833383,https://doi.org/10.3145/epi.2016.ene.03,Bibliometric and benchmark analysis of gold Open Access in Spain: big output and little impact,2016,Daniel Torres‐Salinas; Nicolás Robinson‐García; Isidro F. Aguillo,El Profesional de la Informacion,This bibliometric study analyzes the research output produced by Spain during the 2005-2014 time period in Open Access (OA) journals indexed in Web of Science. The aim of the paper is to determine if papers published in Open Access journals contribute to the improvement of citation impact and collaboration indicators in Spanish research. The results are shown by scientific areas and compared with 17 European countries. Spain is the second highest ranking European country with gold OA publication output and the fourth highest in Open Access output (9%). In Spain OA output is especially high in the fields of Arts and Humanities (28%). Spain's normalized citation impact in Open access (0.72) is lower than the world average and,26,Political science; Humanities; Web of science; Latin Americans; Geography,0.545,Include,Include,Matches 6 inclusion term(s).
https://openalex.org/W3145209320,https://doi.org/10.1007/s11192-021-03972-5,What happens when a journal converts to open access? A bibliometric analysis,2021,Fakhri Momeni; Philipp Mayr; Nicholas Fraser; Isabella Peters,Scientometrics,"Abstract In recent years, increased stakeholder pressure to transition research to Open Access has led to many journals converting, or ‘flipping’, from a closed access (CA) to an open access (OA) publishing model. Changing the publishing model can influence the decision of authors to submit their papers to a journal, and increased article accessibility may influence citation behaviour. In this paper we aimed to understand how flipping a journal to an OA model influences the journal’s future publication volumes and citation impact. We analysed two independent sets of journals that had flipped to an OA model, one from the Directory of Open Access Journals (DOAJ) and one from the Open Access Directory (OAD), and compared their development with two respective control groups of similar journals. For bibliometric analyses, journals were matched to the Scopus database. We assessed changes in the number of articles published over time, as well as two citation metrics at the journal and article level: the normalised impact factor (IF) and the average relative citations (ARC), respectively. Our results show that overall, journals that flipped to an OA model increased their publication output compared to journals that remained closed. Mean normalised IF and ARC also generally increased following the flip to an OA model, at a greater rate than was observed in the control groups. However, the changes appear to vary largely by scientific discipline. Overall, these results indicate that flipping to an OA publishing model can bring positive changes to a journal.",39,Citation; Scopus; Publishing; Directory; Impact factor,0.545,Include,Include,Matches 6 inclusion term(s).
https://openalex.org/W2301623411,,The STM Report: An overview of scientific and scholarly journal publishing,2015,Mark Ware; Michael Mabe,Lincoln (University of Nebraska),"Contents Executive summary ● Scholarly communication ● The research cycle ● Types of scholarly communication ● Changes in scholarly communication system ● The journal ● What is a journal? ● The journals publishing cycle ● Sales channels and models ● Journal economics and market size ● Journal and articles numbers and trends ● Global trends in scientific output ● Authors and readers ● Publishers ● Peer review. ● Reading patterns ● Disciplinary differences ● Citations and the Impact Factor ● Costs of journal publishing ● Authors’ behaviour, perceptions and attitudes ● Publishing ethics ● Copyright and licensing ● Long term preservation ● TRANSFER code ● Researchers’ access to journals ● Open access ● Drivers of open access ● Open access business models ● Types of open access journal ● Delayed open access ● Open access via self-archiving (""Green"" OA) ● Other open access variants ● SCOAP3 ● Open access to scholarly books ● Public access ● System-wide and economic perspectives ● Other developments in open access ● Transition and sustainability issues ● Effect of self-archiving on journals. ● Open access impacts on use ● New developments in scholarly communication ● “Science 2.0” or ""Open Science"" ● FORCE11 and “Science in Transition” ● Publishing platforms and APIs ● Social media ● Mobile access and apps ● Research data ● Semantic web and semantic enrichment ● New article formats and features. ● Text and data mining ● Reproducibility ● Big data & analytics ● Identity and disambiguation ● Research management and analytics ● FundRef ● Library publishing ● Open Annotation ● Learned societies ● Author services and tools ● Collaborative writing and sharing tools ● Open notebook science ● Conclusions ● Information sources ● Publisher organisations ● Global statistics and trends ● Open access ● Publishing industry research and analysis ● References 180pp",405,Publishing; Scientific publishing; Library science; Scholarly communication; Political science,0.545,Include,Include,Matches 6 inclusion term(s).
https://openalex.org/W4382986001,https://doi.org/10.1002/leap.1558,Article processing charges for open access journal publishing: A review,2023,Ãngel Borrego,Learned Publishing,"Abstract Some open access (OA) publishers charge authors fees to make their articles freely available online. This paper reviews literature on article processing charges (APCs) that has been published since 2000. Despite praise for diamond OA journals, which charge no fees, most OA articles are published by commercial publishers that charge APCs. Publishers fix APCs depending on the reputation assigned to journals by peers. Evidence shows a relationship between high impact metrics and higher, faster rising APCs. Authors express reluctance about APCs, although this varies by discipline depending on previous experience of paying publication fees and the availability of research grants to cover them. Authors rely on a mix of research grants, library funds and personal assets to pay the charges. Two major concerns have been raised in relation to APCs: the inability of poorly funded authors to publish research and their impact on journal quality. Waivers have not solved the first issue. Research shows little extension of waiver use, unintended side effects on co‐author networks and concerns regarding criteria to qualify for them. Bibliometric studies concur that journals that charge APCs have a similar citation impact to journals that rely on other income sources.",88,Publication; Citation; Praise; Waiver; Publishing,0.455,Include,Include,Matches 5 inclusion term(s).
https://openalex.org/W2322381034,https://doi.org/10.12688/f1000research.8460.3,"The academic, economic and societal impacts of Open Access: an evidence-based review",2016,Jonathan Tennant; François Waldner; Damien Jacques; Paola Masuzzo; Lauren Collister,F1000Research,"Ongoing debates surrounding Open Access to the scholarly literature are multifaceted and complicated by disparate and often polarised viewpoints from engaged stakeholders. At the current stage, Open Access has become such a global issue that it is critical for all involved in scholarly publishing, including policymakers, publishers, research funders, governments, learned societies, librarians, and academic communities, to be well-informed on the history, benefits, and pitfalls of Open Access. In spite of this, there is a general lack of consensus regarding the potential pros and cons of Open Access at multiple levels. This review aims to be a resource for current knowledge on the impacts of Open Access by synthesizing important research in three major areas: academic, economic and societal. While there is clearly much scope for additional research, several key trends are identified, including a broad citation advantage for researchers who publish openly, as well as additional benefits to the non-academic dissemination of their work. The economic impact of Open Access is less well-understood, although it is clear that access to the research literature is key for innovative enterprises, and a range of governmental and non-governmental services. Furthermore, Open Access has the potential to save both publishers and research funders considerable amounts of financial resources, and can provide some economic benefits to traditionally subscription-based journals. The societal impact of Open Access is strong, in particular for advancing citizen science initiatives, and leveling the playing field for researchers in developing countries. Open Access supersedes all potential alternative modes of access to the scholarly literature through enabling unrestricted re-use, and long-term stability independent of financial constraints of traditional publishers that impede knowledge sharing. However, Open Access has the potential to become unsustainable for research communities if high-cost options are allowed to continue to prevail in a widely unregulated scholarly publishing market. Open Access remains only one of the multiple challenges that the scholarly publishing system is currently facing. Yet, it provides one foundation for increasing engagement with researchers regarding ethical standards of publishing and the broader implications of 'Open Research'.",553,Viewpoints; Publication; Open science; Scope (computer science); Public relations,0.455,Include,Include,Matches 5 inclusion term(s).
