ID,DOI,Title,Year,Authors,Venue,Abstract,Citations,Concepts
https://openalex.org/W1936293037,https://doi.org/10.1007/978-3-319-16510-3_8,Methodology Used for the Detection and Identification of Microplastics—A Critical Appraisal,2015,Martin G. J. Löder; Gunnar Gerdts,,"Microplastics in aquatic ecosystems and especially in the marine environment represent a pollution of increasing scientific and societal concern, thus, recently a substantial number of studies on microplastics were published. Although first steps towards a standardization of methodologies used for the detection and identification of microplastics in environmental samples are made, the comparability of data on microplastics is currently hampered by a huge variety of different methodologies, which result in the generation of data of extremely different quality and resolution. This chapter reviews the methodology presently used for assessing the concentration of microplastics in the marine environment with a focus on the most convenient techniques and approaches. After an overview of non-selective sampling approaches, sample processing and treatment in the laboratory, the reader is introduced to the currently applied techniques for the identification and quantification of microplastics. The subsequent case study on microplastics in sediment samples from the North Sea measured with focal plane array (FPA)-based micro-Fourier transform infrared (micro-FTIR) spectroscopy shows that only 1.4 % of the particles visually resembling microplastics were of synthetic polymer origin. This finding emphasizes the importance of verifying the synthetic polymer origin of potential microplastics. Thus, a burning issue concerning current microplastic research is the generation of standards that allow for the assessment of reliable data on concentrations of microscopic plastic particles and the involved polymers with analytical laboratory techniques such as micro-FTIR or micro-Raman spectroscopy.",758,Microplastics; Environmental science; Identification (biology); Biochemical engineering; Environmental chemistry
https://openalex.org/W2428475944,https://doi.org/10.1038/srep17988,Microplastics profile along the Rhine River,2015,Thomas Mani; Armin Hauk; U. Walter; Patricia Burkhardt‐Holm,Scientific Reports,"Microplastics result from fragmentation of plastic debris or are released to the environment as pre-production pellets or components of consumer and industrial products. In the oceans, they contribute to the 'great garbage patches'. They are ingested by many organisms, from protozoa to baleen whales, and pose a threat to the aquatic fauna. Although as much as 80% of marine debris originates from land, little attention was given to the role of rivers as debris pathways to the sea. Worldwide, not a single great river has yet been studied for the surface microplastics load over its length. We report the abundance and composition of microplastics at the surface of the Rhine, one of the largest European rivers. Measurements were made at 11 locations over a stretch of 820 km. Microplastics were found in all samples, with 892,777 particles km (-2) on average. In the Rhine-Ruhr metropolitan area, a peak concentration of 3.9 million particles km (-2) was measured. Microplastics concentrations were diverse along and across the river, reflecting various sources and sinks such as waste water treatment plants, tributaries and weirs. Measures should be implemented to avoid and reduce the pollution with anthropogenic litter in aquatic ecosystems.",977,Microplastics; Marine debris; Environmental science; Debris; Plastic pollution
https://openalex.org/W2885268267,https://doi.org/10.1038/s41598-018-29980-9,Microplastic in riverine fish is connected to species traits,2018,Rachel E. McNeish; L. H. Kim; Heather A. Barrett; Sherri A. Mason; John J. Kelly,Scientific Reports,"Abstract Microplastic is a contaminant of concern worldwide. Rivers are implicated as major pathways of microplastic transport to marine and lake ecosystems, and microplastic ingestion by freshwater biota is a risk associated with microplastic contamination, but there is little research on microplastic ecology within freshwater ecosystems. Microplastic uptake by fish is likely affected by environmental microplastic abundance and aspects of fish ecology, but these relationships have rarely been addressed. We measured the abundance and composition of microplastic in fish and surface waters from 3 major tributaries of Lake Michigan, USA. Microplastic was detected in fish and surface waters from all 3 sites, but there was no correlation between microplastic concentrations in fish and surface waters. Rather, there was a significant effect of functional feeding group on microplastic concentration in fish. Neogobius melanostomus (round goby, a zoobenthivore) had the highest concentration of gut microplastic (19 particles fish −1 ) compared to 10 other fish taxa measured, and had a positive linear relationship between body size and number of microplastic particles. Surface water microplastic concentrations were lowest in the most northern, forested watershed, and highest in the most southern, agriculturally dominated watershed. Results suggest microplastic pollution is common in river food webs and is connected to species feeding characteristics. Future research should focus on understanding the movement of microplastic from point-source and diffuse sources and into aquatic ecosystems, which will support pollution management efforts on inland waters.",384,Fish <Actinopterygii>; Biology; Fishery; Ecology
https://openalex.org/W4392145873,https://doi.org/10.3929/ethz-b-000667478,"Two new Later Stone Age sites from the Final Pleistocene in the Falémé Valley, eastern Senegal",2024,"Ndiaye, Matar; Lespez, Laurent; Tribolo, Chantal; Rasse, Michel; Hadjas, Irka",ENLIGHTEN (Jurnal Bimbingan dan Konseling Islam),"30 pages, 8 figures, 1 table, supporting information https://doi.org/10.1371/journal.pone.0308461.-- Data Availability: The data underlying the results presented in the study are available through ONC’s Oceans 3.0 data management system (https://data.oceannetworks.ca/home)",23819,Insulin sensitivity; Sugar; Insulin; Carbohydrate metabolism; Metabolism
https://openalex.org/W3089305530,https://doi.org/10.1016/j.scitotenv.2020.142422,"Microplastics in African ecosystems: Current knowledge, abundance, associated contaminants, techniques, and research needs",2020,Olubukola S. Alimi; Oluniyi O. Fadare; Elvis D. Okoffo,The Science of The Total Environment,"Despite Africa ranking top in mismanaged plastic waste, there is insufficient data on the extent of microplastics and its interaction with other contaminants in its ecosystems. Microplastics pollution has been documented globally, however, specific data from the continent is crucial for accurate risk assessment and to drive policies. We critically reviewed 56 articles from 1987 to 2020 and provide an overview of the current knowledge of the abundance and distribution of microplastics and associated contaminants in African aquatic systems and organisms. Most of the studies were carried out in the marine environment and there is currently no available data on the abundance of microplastic pollution in the African terrestrial environment. We show that across all studies, 5-100% of all sampled aquatic organisms contained microplastics. Concerning high levels of microplastics were reported in fish from Egypt compared to other parts of Africa and the world. Across all persistent organic pollutants sampled in microplastics, hopanes and phthalates were present at high concentrations while sodium and zinc were high relative to other trace metals reported. The most frequently occurring plastics were polyethylene followed by polypropylene and polystyrene. We found that most of the studies relied on visual inspection (52%) > FTIR (38%) > Raman spectroscopy (5%) > Scanning electron microscopy (3%) > Differential scanning calorimetry (2%) for identifying microplastics. Major gaps in sampling and identification techniques which may have overestimated or underestimated the current levels were identified. We discuss other research priorities and recommend solutions to address these issues associated with microplastic pollution in Africa.",196,Microplastics; Environmental science; Plastic pollution; Pollution; Aquatic ecosystem
https://openalex.org/W4320033527,https://doi.org/10.1038/s43247-023-00690-z,Non-buoyant microplastic settling velocity varies with biofilm growth and ambient water salinity,2023,Freija Mendrik; Roberto Fernández; Christopher Hackney; Catherine Waller; Daniel R. Parsons,Communications Earth & Environment,"Abstract Rivers are the major conveyor of plastics to the marine environment, but the mechanisms that impact microplastic (&lt;5 mm) aquatic transport, and thus govern fate are largely unknown. This prevents progress in understanding microplastic dynamics and identifying zones of high accumulation, along with taking representative environmental samples and developing effective mitigation measures. Using a suite of settling experiments we show that non-buoyant microplastic settling is influenced by a combination of biofilm growth, water salinity and suspended clay concentrations typically seen across fluvial to marine environments. Results indicate that biofilms significantly increased settling velocity of three different polymer types of non-buoyant microplastics (fragments and fibres, size range 0.02–4.94 mm) by up to 130% and significant increases in settling velocity were observable within hours. Impacts were both polymer and shape specific and settling regimes differed according to both salinity and sediment concentrations. Our results further validate previous statements that existing transport formula are inadequate to capture microplastic settling and highlight the importance of considering the combination of these processes within the next generation of predictive frameworks. This will allow more robust predictions of transport, fate and impact of microplastic pollution within aquatic environments.",81,Settling; Microplastics; Environmental science; Salinity; Sediment
https://openalex.org/W4281656189,https://doi.org/10.1016/j.ejar.2022.03.001,Impacts of microplastics on marine organisms: Present perspectives and the way forward,2022,K. Nanthini Devi; P. Raju; P. Santhanam; Pachiappan Perumal,The Egyptian Journal of Aquatic Research,"The present review is detailed on the microplastics occurrences and their size, types besides impacts of microplastics from phytoplankton to marine mammals. Hence, the previous studies stated that the impacts of microplastics in the marine environment have been compared with the interaction of microplastics into marine organisms such as primary and secondary producers, fish, crustaceans, molluscs, sponges, marine plants, coral reefs, marine mammals and humans. Lastly, there is a need to understand the ecotoxicological effects of environmentally relevant concentrations of microplastics on the health of aquatic organisms. The recycling and reuse of plastic products and the support for research and innovation to develop new products to replace single-use plastics are also necessary to prevent and reduce plastic pollution. Thus, a precautionary approach is urged to be considered and research supporting mitigation of plastic pollution should be prioritized by the policy makers.",79,Microplastics; Plastic pollution; Environmental science; Marine pollution; Marine species
https://openalex.org/W2980828018,https://doi.org/10.1007/s10661-019-7843-z,"Assessment of microplastic pollution: occurrence and characterisation in Vesijärvi lake and Pikku Vesijärvi pond, Finland",2019,Costanza Scopetani; David Chelazzi; Alessandra Cincinelli; Maranda Esterhuizen‐Londt,Environmental Monitoring and Assessment,"In the last few years, several studies have investigated microplastics (MPs) in marine ecosystems, but data monitoring and assessing the occurrence in freshwater environments are still scarce. The present study aims to investigate the occurrence, distribution, and chemical composition of MP pollution in Vesijärvi lake and Pikku Vesijärvi pond close to the city of Lahti (Finland) in winter. Sediment, snow, and ice core samples were collected near the shore of these two aquatic systems. MPs were analysed and identified by a non-destructive method using Fourier transform infrared spectroscopy (FTIR) 2D imaging. The mean concentrations of MPs detected in sediment, snow, and ice samples were 395.5 ± 90.7 MPs/kg, 117.1 ± 18.4 MPs/L, and 7.8 ± 1.2 MPs/L, respectively. FTIR results showed the predominant abundance of microplastics, such as polyamides (up to 53.3%), polyethylene and polypropylene (up to 17.1%), and natural fragments such as cellulose (up to 45.8%) and wool (up 18.8%) in the same size range. The potential release of MPs arising from stormwaters and sport and recreational activities was evidenced.",108,Microplastics; Environmental science; Pollution; Environmental chemistry; Snow
https://openalex.org/W2999373333,https://doi.org/10.1002/lol2.10145,Microplastics in aquatic organisms: Improving understanding and identifying research directions for the next decade,2020,Elise F. Granek; Susanne M. Brander; Erika B. Holland,Limnology and Oceanography Letters,"The study of environmental microplastics has increased over the past decade, with hundreds of new studies and resultant papers on the presence, fate, and sources of microplastics in marine and freshwater systems (Fig. 1). Despite the explosion of interest in the topic and in comparison to the research on the presence of microplastics in marine or fresh waters, there have been notably fewer studies on the extent to which these debris items are ingested by aquatic organisms and far fewer on the potential consequences, or response to their presence in organismal guts, tissues, and food webs. Even less research has focused on the smallest plastic debris items, nanoplastics (< 1 μm). In this special issue on Microplastics in marine and freshwater organisms: Presence and potential effects, we highlight and address some of the many remaining questions. Articles in the issue examine the following: occurrence in freshwater fish (Hurt et al., Simmerman et al.), effects in freshwater plants (Dovidat et al.), reproductive effects, trophic transfer (Athey et al., Horn et al.), sensitivity in early life stages (Athey et al.), spatiotemporal variability in microplastics (Baechler et al. A, B), connections between feeding strategies, and microplastic ingestion (Caldwell et al., Not et al., Harris and Carrington) among others. As an introduction to this special issue, here we briefly discuss research gaps, challenges, and solutions to this important topic. Hundreds of marine and freshwater species encounter microplastics in their environment (Carbery et al. 2018). To date, a few hundred studies have documented microplastic assimilation, ingestion, or retention in the gut or tissue of a wide range of organisms in both laboratory and field settings. These studies include taxa across trophic levels, including algae, plants, invertebrates, fish, mammals, and birds, but many focus on invertebrates or a limited number of fish species (e.g., Baechler et al. A, B). The relatively fewer studies of microplastic exposure effects on biological responses (e.g., growth, swimming behavior, and molecular endpoints) focus on a few select invertebrates (e.g., daphnids) or fishes (e.g., zebrafish). Consequently, there are large gaps in understanding microplastic assimilation in organisms and their response to exposure, particularly in algae and plants, as well as limited knowledge on microbial colonization (e.g., Dudek et al.). In addition, less research related to freshwater vs. marine organisms exists for any of these topics (de Sá et al. 2018). The paper by Dovidat et al. and a review by Rogers et al. begin to address some of the species-based data gaps and highlight future research needs in freshwater plants and for microbe–plastic interactions. Finally, while still limited, studies are now being expanded to include important nonmodel species as some of the articles in this special issue demonstrate (e.g., Brandon et al., Dovidat et al., Waddell et al., Horn et al.). Another notable research gap in the study of microplastics in organisms is understanding the implications of microplastic interactions spanning trophic levels, and particularly those that also consider additives or sorbed chemicals of microplastics. For example, studies on the trophic transfer of microplastic confirms that those items ingested by zooplankton, copepods, and mussels are transferred to predators, including shrimp, crab, and fish (Au et al. 2017). However, fewer studies evaluate the transfer across complex food webs, particularly in the field, and are often done by inferring trophic transfer from prevalence in the feces of top predators and their most common prey. Additionally, environmental plastics are known to contain additives and sorbed pollutants yet only a few studies have quantified or modeled the transfer of chemicals from microplastics across multiple species in a food web, limiting the overall understanding of toxicity and community- and ecosystem-level risk. Thus, the potential impact of microplastics on predator–prey dynamics and entire food webs remains largely unknown. Articles in this special issue that focused on trophic transfer provide important foundations on which to develop this understanding (e.g., Athey et al., Simmerman et al.) but more research is clearly needed. Finally, a critical knowledge gap exists in background data on the prevalence of microplastic concentrations and effects in organisms across the globe. For example, microplastics are comparatively well studied in Europe and Australia, as well as in parts of Asia. However, there are major deficits in North and South America, Africa, and virtually no published studies in the Middle East. This special issue begins to address some of these deficits in both marine and freshwater organisms (e.g., Baechler et al. A, B; Horn et al., Hurt et al.) To fill the above knowledge gaps and improve understanding, research is needed to establish baselines (e.g., Baechler et al. A and B); document trophic and geographic variability (e.g., Hurt et al., others); and test for individual-, community-, and ecosystem-level effects of microplastics (e.g., Athey et al., Dovidat et al., Horn et al., and Rogers et al.). Unfortunately, there are seven major challenges in conducting this important research. The first is funding. Although it is fairly inexpensive to collect and digest samples, it is far more expensive to perform necessary microplastic validation and polymer characterization. The second is training and personnel. We currently lack enough trained personnel to sample and analyze the diverse array of taxonomic groups and trophic levels across a broad geographic range of fresh and marine waters. In other words, there are not enough individuals trained in good QA/QC methods, nor enough funding for clean work spaces, to collect and process the necessary samples. A third challenge is contamination. It is now known that microscopic debris, particularly fibers, are ubiquitous across indoor and outdoor environments. Thus, studies lacking the means to sufficiently prevent and account for background contamination may be overreporting the amount of plastic debris in samples. Likewise, research conducted without access to proper microscopes or analytical confirmation may unintentionally misrepresent the source or type of microplastic pollution, or mischaracterize nonmicroplastic items (Shim et al. 2017). The fourth major challenge is the fact that the size range of debris researchers are expected to detect and quantify keeps getting smaller and the importance of designing sampling regimes to account for a wider distribution of microscopic microplastics (< 1 mm) is increasing each year (Nguyen et al. 2019). This trend increases not only the cost but also the training and validation necessary to adequately study microplastics in these size ranges. For example, much of the current data available from field sampling exist for size fractions ≥ 300 μm with less information on smaller microplastics and even less on the nanoplastics (Fig. 1) the majority of polymers eventually degrade into. Along with problems with sampling regimes, this challenge is exacerbated by the analytical capacity of currently available or affordable technology. Namely, those technologies available for polymer characterization (e.g., FTIR or Raman spectroscopy) are unable to adequately characterize very small particles or fibers (< 20 μm for FTIR, < 1 μm for Raman) or the time needed for characterization is highly limiting for environmental samples. Therefore, researchers are currently faced with a trade-off between polymer confirmation for limited size classes or detection of smaller sizes using dyes (e.g., Nile Red) to help process samples in a timely manner. The challenges and costs associated with detecting smaller sized plastics or various morphologies create our fifth challenge: realistic count and size-based exposure scenarios. Due to limited data on a range of size classes, experiments are unable to adequately examine organismal exposures using relevant concentrations in relevant size classes, limiting characterization of effects, trophic transfer, and overall risk assessment. The sixth challenge is that microscopic debris can be comprised of materials that are plastic, blends of synthetic and natural materials, or natural (cotton, linen, chitin), which complicates methodologies, analyses, and inferences. For example, whether the composition of this debris makes an appreciable difference to exposed organisms is not yet fully understood. In fact, over the past few years the emphasis has shifted from a primary concern for plastic-associated chemicals to a call for describing plastics as a class of pollutants rather than a single pollutant type (Rochman et al. 2019), and thus gaining a better understanding of how size, shape, polymer, and even material types outside of polymers (synthetic, natural, blend of both) influence encounter rate, internalization, and subsequent effects, if any. Understanding the true complexity of these micro- and even nanosized items is a challenge that will continue to confront researchers as we enter a second decade of intensive microplastics study, as well as relating findings to concerns over the now-documented human exposure. All of the above challenges make studying microplastics in aquatic ecosystems extremely difficult. However, because the study of microplastics is still relatively nascent, one area that may most severely limit forward progress is the lack of standardized methodologies because this greatly limits researchers' ability to compare across studies. Although communication across research groups continues to increase, efforts to strengthen these connections are critical to improving the quality and comparability of research findings, eventually allowing for the meta-analyses that are necessary to accurately assess the hazard and risk of microplastics across freshwater and marine ecosystems (e.g., Bucci et al. 2019). Nevertheless, we are optimistic about these challenges, as we describe next. Many of the above challenges are being addressed through novel approaches and partnerships. For example, one tactic for addressing standardization and methodology challenges is the newly created US National Science Foundation funded Pacific Northwest Consortium on Plastic Pollution, whose goal is to conduct fundamental research on the fate and effects of micro- and nanoplastics in aquatic environments to inform risk management decisions that will be protective of the environment, essential fisheries, and aquaculture commodities. Another promising solution is an upcoming special issue on standard methodologies for sampling, digestion, and analysis in the Journal of Applied Spectroscopy. In addition, global interest groups in the Society of Environmental Toxicology and Chemistry focused on the study of nanoparticles and microplastics are linking investigators and labs across continents. Further, to address the personnel shortage for baseline and monitoring work and to increase the availability of consistent and reliable baseline data and cover a wider range of environments, there are efforts in process to develop clear protocols and QA/QC techniques for citizen science research. Additionally, there are nascent efforts to assess and implement strategies to reduce the time and overall cost of conducting microplastic research. First, automation across the microplastic workflow in a small number of labs is beginning to take hold. This is primarily being developed for conducting accurate counts using fluorescent dyes coupled with imaging software (e.g., ImageJ) or using automated mapping technology for polymer characterization (e.g., FTIR). Second, open access data (such as the data repositories for articles in this special issue) and polymer libraries are being developed and shared to save costs associated with polymer identification and to again allow much needed transparency for meta-analysis. While these tools are still being developed and validated for different size classes, they hold great promise for reducing the time to process and eventually with increased use, should reduce the cost of automated technology. Furthermore, there is a great need to establish a consistent framework for risk assessment of microplastic and nanoplastic exposures by organisms. Frameworks such as those established for the determination of Adverse Outcome Pathways (AOPs) or AOP networks (Ankley et al. 2010, Knapen et al. 2018) have been in existence for up to a decade or more for soluble pollutants such as pesticides, industrial chemicals, and pharmaceuticals that are present in effluent and stormwater runoff. Micro- and nanoplastic researchers can use these existing constructs to inform experimental design for sampling efforts and exposure regimes. Mechanistic information on endpoints relevant to fitness (e.g., development, swimming behavior, reproduction) is necessary to predict potential effects at organism and population levels. The importance of collecting comparable data on responses across environmentally relevant ranges of plastic concentrations has become evident as toxicologists and ecologists grapple with the need to determine what amount of micro- or nanoplastic pollution may pose a potential threat to aquatic organisms. This special issue takes a step toward addressing some of the knowledge gaps and research challenges. We hope that the findings from the studies in this special issue generate more new questions than the number of answers they provide. We hope that this special issue will help steer microplastics research in the next decade and we look forward to the future research directions that these articles catalyze. We thank Pat Soranno and Jim Cloern, Rachel Yehl and Vicki Pang, Eric Kun, and the rest of the Wiley editorial team for assisting with making this special issue a reality. We are also grateful for the dozens of reviewers who kindly reviewed the special issue manuscripts. We acknowledge the following funding sources for supporting the time needed for research, writing, and editing NSF-1935028 (to S.M.B.) and NOAA NA17NOS9990025 (to S.M.B.).",85,Microplastics; Environmental science; Data science; Computer science; Biology
https://openalex.org/W2779282391,https://doi.org/10.1021/acs.est.7b05559,"Microplastics and Nanoplastics in Aquatic Environments: Aggregation, Deposition, and Enhanced Contaminant Transport",2017,Olubukola S. Alimi; Jeffrey M. Farner; Laura M. Hernandez; Nathalie Tufenkji,Environmental Science & Technology,"Plastic litter is widely acknowledged as a global environmental threat, and poor management and disposal lead to increasing levels in the environment. Of recent concern is the degradation of plastics from macro- to micro- and even to nanosized particles smaller than 100 nm in size. At the nanoscale, plastics are difficult to detect and can be transported in air, soil, and water compartments. While the impact of plastic debris on marine and fresh waters and organisms has been studied, the loads, transformations, transport, and fate of plastics in terrestrial and subsurface environments are largely overlooked. In this Critical Review, we first present estimated loads of plastics in different environmental compartments. We also provide a critical review of the current knowledge vis-à-vis nanoplastic (NP) and microplastic (MP) aggregation, deposition, and contaminant cotransport in the environment. Important factors that affect aggregation and deposition in natural subsurface environments are identified and critically analyzed. Factors affecting contaminant sorption onto plastic debris are discussed, and we show how polyethylene generally exhibits a greater sorption capacity than other plastic types. Finally, we highlight key knowledge gaps that need to be addressed to improve our ability to predict the risks associated with these ubiquitous contaminants in the environment by understanding their mobility, aggregation behavior and their potential to enhance the transport of other pollutants.",2549,Microplastics; Environmental science; Environmental chemistry; Contamination; Sorption
