ID,DOI,Title,Year,Authors,Venue,Abstract,Citations,Concepts
zot_001,10.1016/j.ijmedinf.2023.105101,Artificial intelligence in systematic reviews: opportunities and challenges,2023,"Marshall, I.J.; Wallace, B.C.",International Journal of Medical Informatics,"We review the current state of AI tools for systematic review automation, covering screening, extraction, and synthesis. We identify key challenges including bias, reproducibility, and the need for human oversight.",142,systematic review; artificial intelligence; machine learning; automation; bias
zot_002,10.1002/jrsm.1503,Automating data extraction in systematic reviews: a systematic review,2021,"Jonnalagadda, S.R.; Goyal, P.; Huffman, M.D.",Research Synthesis Methods,"This paper reviews methods for automated data extraction from full-text articles in systematic reviews, evaluating NLP and machine learning approaches.",98,data extraction; NLP; systematic review; automation; machine learning
zot_003,10.1371/journal.pone.0271991,Active learning for title and abstract screening in systematic reviews,2022,"van de Schoot, R.; de Bruin, J.; Schram, R.",PLOS ONE,"We present ASReview, an active learning tool for title and abstract screening. In simulation studies, it reduces the number of records screened by up to 95%.",215,active learning; screening; systematic review; ASReview; machine learning
zot_004,10.1186/s13643-019-1074-9,ROBOT reviewer: extracting data from randomised controlled trial reports,2019,"Marshall, I.J.; Kuiper, J.; Wallace, B.C.",Systematic Reviews,"ROBOT reviewer uses machine learning to extract data from RCT reports, including PICO elements and risk of bias assessments.",187,RCT; data extraction; PICO; machine learning; risk of bias
zot_005,10.1093/jamia/ocaa021,Semi-automated screening of biomedical citations for systematic reviews,2020,"Olorisade, B.K.; Brereton, P.; Andras, P.",Journal of the American Medical Informatics Association,"We evaluate semi-automated screening tools for biomedical systematic reviews, finding that SVM-based approaches achieve recall above 95% with significant workload reduction.",76,screening; SVM; biomedical; systematic review; recall
zot_006,10.1002/jrsm.1457,A comparison of machine learning methods for screening in systematic reviews,2020,"Blaizot, A.; Veettil, S.K.; Saidoung, P.",Research Synthesis Methods,"Comparing logistic regression, SVM, and neural networks for abstract screening, we find that simpler models perform comparably to deep learning with smaller training sets.",63,machine learning; screening; logistic regression; SVM; neural networks
zot_007,10.1016/j.jbi.2022.104072,Large language models for information extraction in systematic reviews,2022,"Guo, E.; Gupta, M.; Deng, J.",Journal of Biomedical Informatics,"We evaluate GPT-3 and similar LLMs for structured data extraction from clinical trial reports, finding high accuracy on PICO elements with appropriate prompting.",134,LLM; GPT-3; information extraction; PICO; clinical trials
zot_008,10.1186/s13643-022-01975-6,Reporting standards for AI-assisted systematic reviews: a scoping review,2022,"Khalil, H.; Ameen, D.; Zarnegar, A.",Systematic Reviews,We identify 14 reporting standards relevant to AI-assisted systematic reviews and propose a checklist for transparent reporting of AI tool use.,45,reporting standards; transparency; systematic review; AI; checklist
zot_009,10.1002/jrsm.1538,Human-in-the-loop machine learning for systematic review screening,2021,"Cormack, G.V.; Grossman, M.R.",Research Synthesis Methods,"We propose a continuous active learning framework for systematic review screening that maintains human oversight at each iteration, achieving high recall with minimal human effort.",89,active learning; human-in-the-loop; screening; systematic review; recall
zot_010,10.1136/bmj.n71,Automated screening versus manual screening: a meta-analysis,2021,"O'Mara-Eves, A.; Thomas, J.; McNaught, J.",BMJ,Meta-analysis of 23 studies comparing automated and manual screening in systematic reviews. Automated tools achieve mean recall of 0.97 (95% CI 0.95–0.99) with 50% workload reduction.,312,meta-analysis; automated screening; manual screening; recall; workload
