ID,DOI,Title,Year,Authors,Venue,Abstract,Citations,Concepts,Relevance_Score,AL_Decision,LLM_Decision,LLM_Justification
https://openalex.org/W2588234720,https://doi.org/10.1108/jgr-11-2016-0029,Does ESG performance have an impact on financial performance? Evidence from Germany,2017,Patrick Velte,Journal of Global Responsibility,"Purpose The purpose of this paper is to concentrate on environmental, social and governance performance (ESGP) in total and divided in each component and evaluate their impact on financial performance (FINP). Design/methodology/approach The study covers a sample selection of companies listed on the German Prime Standard (DAX30, TecDAX, MDAX) for the business years 2010-2014 (412 firm-year observations). A correlation and regression analysis was carried out to evaluate possible links between ESGP as determined by the Asset4 database of Thomson Reuters and accounting and market-based measures of FINP (Return on Assets [ROA] and Tobin’s Q). Findings ESGP has a positive impact on ROA but no impact on Tobin’s Q. Furthermore, by analyzing the three different components of ESGP, governance performance has the strongest impact on FINP in comparison to environmental and social performance. Originality/value The analysis makes a key contribution to the empirical corporate social responsibility (CSR) research as the author breaks down ESGP into their three components and include both accounting-based and market-based FINP measures for the German setting for the first time. Not only companies but also regulators and researchers are affected by the notion that CSR and FINP are close together and should be lead to a successful stakeholder management.",907,Return on assets; Accounting; Corporate social responsibility; Corporate governance; Tobin's q,0.667,Include,Include,Abstract matches 8 inclusion criteria terms — appears to meet eligibility requirements.
https://openalex.org/W2807472376,https://doi.org/10.1108/meq-12-2017-0149,Is sustainability reporting (ESG) associated with performance? Evidence from the European banking sector,2018,Amina Buallay,Management of Environmental Quality An International Journal,"Purpose Sustainability reporting has been widely adopted by firms worldwide given the need of stakeholders for more transparency on environmental, social and governance (ESG) issues. The purpose of this paper is to investigate the relationship between ESG and bank’s operational (Return on Assets), financial (Return on Equity) and market performance (Tobin’s Q). Design/methodology/approach This study examined 235 banks for ten years (2007-2016) to ends up with 2,350 observations. The independent variable is the ESG disclosure; the dependent variables are performance indicators (return on assets, return on equity and Tobin’s Q). Two type of control variables are utilized in this study: bank specific and macroeconomic. Findings The findings deduced from the empirical results demonstrate that there is significant positive impact of ESG on the performance. However, the relationship between ESG disclosures is vary if measured individually; the environmental disclosure found positively affect the ROA and TQ. Whereas, the corporate social responsibility disclosure is negatively affect the three models. However, the corporate governance disclosure found negatively affects the ROA, ROE and positively affects the Tobin’s Q. Originality/value The results of this study can be used to present a successful model for worldwide banks to concentrate on the role of ESG disclosure in performance.",873,Return on assets; Return on equity; Accounting; Corporate governance; Business,0.583,Include,Include,Abstract matches 7 inclusion criteria terms — appears to meet eligibility requirements.
https://openalex.org/W3085366284,https://doi.org/10.3390/su12187545,Effects of Corporate Social Responsibility on Firm Performance: Does Customer Satisfaction Matter?,2020,An‐Pin Wei; Chi‐Lu Peng; Hao‐Chen Huang; Shang‐Pao Yeh,Sustainability,"Academic research has shed light on the empirical relationships among a firm’s corporate social responsibility (CSR), corporate social irresponsibility (CSiR) and firm performance and on the firm’s customer satisfaction–firm performance relationship in different markets. However, little notice has been taken of whether the coexistence of corporate social responsibility, corporate social irresponsibility and customer satisfaction has an interactive effect on firm performance. This study aims to examine the effects of their interaction on firm performance from an investment perspective. Using unbalanced panel regression to test a sample of publicly traded firms from the United States, this study finds that, in general, firms with higher customer satisfaction earn positive changes in abnormal stock returns. For firms that engage in CSR, CSR positively affects corporate performance, whereas firms’ social irresponsibility activities reduce firms’ financial performance. All else equal, a positive interactive effect of CSiR and customer satisfaction on stock return was observed. The results reveal that high customer satisfaction can alleviate the negative effect of corporate social irresponsibility on firms’ financial performance. Our findings will help management executives and investors to understand that the negative effect of a firm’s unforeseen events on firm performance can be weakened by increasing customer satisfaction.",46,Corporate social responsibility; Business; Customer satisfaction; Notice; Marketing,0.583,Include,Include,Abstract matches 7 inclusion criteria terms — appears to meet eligibility requirements.
https://openalex.org/W4410235409,https://doi.org/10.9734/jsrr/2025/v31i53051,Effect of Corporate Social Responsibility on Financial Performance in Asian Firms - A Historical Empirical Analysis,2025,Dam Thanh Huyen; Pham Minh Huong,Journal of Scientific Research and Reports,"Aims: This study aims to examine whether corporate social responsibility (CSR) has a positive influence on a firm’s financial performance in Asian emerging markets. Specifically, it investigates the relationship between CSR and two financial performance indicators: market valuation (Tobin’s Q) and operating performance (ROA). Study Design: This is a quantitative cross-sectional study using regression-based statistical modeling to evaluate CSR’s impact on financial outcomes. Place and Duration of Study: The study analyzes secondary data from 50 companies across 11 Asian countries, using fiscal year 2009 reports evaluated by Credit Lyonnais Securities Asia (CLSA). Methodology: CSR scores (1–5) were assigned by CLSA based on five dimensions: environmental impact, social impact, governance, transparency, and disclosure quality. Financial data, including Tobin’s Q and ROA, were collected from COMPUSTAT. Regression models were used to test the direct effect of CSR on financial performance and the moderating effect of country-level corporate governance on the effect of CSR on Tobin’s Q and ROA. Control variables included corporate governance score, firm size (log sales), debt-to-equity ratio, and sales growth. Results: CSR scores were found to be significantly and positively associated with both Tobin’s Q (β = 0.21, P = .05) and ROA (β = 0.02, P = .05). This means that the integration of CSR into enterprises’ activities can bring substantial benefits for their market valuation and operating performance. The interaction between CSR and country-level corporate governance was not statistically significant, indicating no moderating effect and implying that CSR effectiveness are not affected by institutional distance between countries.",1,Corporate social responsibility; Business; Accounting; Public relations; Political science,0.583,Include,Include,Abstract matches 7 inclusion criteria terms — appears to meet eligibility requirements.
https://openalex.org/W3093158526,https://doi.org/10.1108/jic-02-2020-0038,Intellectual capital: the missing link in the corporate social responsibility–financial performance relationship,2020,Niccolò Nirino; Alberto Ferraris; Nicola Miglietta; Anna Chiara Invernizzi,Journal of Intellectual Capital,"Purpose The purpose of this paper is to propose and empirically test intellectual capital (IC) as a mediator in the corporate social responsibility (CSR) and financial performance (FP) relationship. Design/methodology/approach The empirical research was conducted on 345 European firms listed in the STOXX Europe 600 index. To evaluate the mediating effect of IC, we applied the four-step Baron and Kenny model, tested through an ordinary least squares regression analysis. Findings The findings highlighted a partial mediation of IC on the CSR–FP relationship, suggesting that the implementation of CSR strategies has a positive effect on the development of firms' IC, which in turn enhances firms' competitive advantage and superior long-term FPs. Originality/value We found a new mediator in the CSR–FP relationship and we contribute to a new line of research that aims to study environmental and sustainability aspects strictly interrelated with IC and performances (sustainable intellectual capital).",156,Intellectual capital; Corporate social responsibility; Mediation; Accounting; Originality,0.583,Include,Include,Abstract matches 7 inclusion criteria terms — appears to meet eligibility requirements.
https://openalex.org/W2898300106,https://doi.org/10.1108/srj-11-2017-0254,Towards a more ethical market: the impact of ESG rating on corporate financial performance,2018,Giovanni Landi; Mauro Sciarelli,Social Responsibility Journal,"Purpose This paper fits in a research field dealing with the impact of Corporate Ethics Assessment on Financial Performance. The authors argue how environmental, social and governance (ESG) paradigm, meant to measure corporate social performance by rating issuance, can impact on abnormal returns of Italian firms listed on Financial Times Stock Exchange Milano Indice di Borsa (FTSE MIB) Index, developing a panel data analysis which runs from 2007 to 2015. Design/methodology/approach This study aims at exploring whether socially responsible investors outperform an excess market return on Italian Stock Exchange because of their investment behavior, testing statistically the relationship between the yearly ESG assessment issued by Standard Ethics Agency on FTSE MIB’s companies and their abnormal returns. To verify the impact of an ESG Rating on a company’s abnormal return, the authors developed a panel data analysis through a Fixed Effects Model. They measured abnormal returns via Fama–French approach, running a yearly Jensen’s Performance Index for each company under investigation. Findings The empirical results denote in Italy both a growing interest to corporate social responsibility (CSR) and sustainability by managers over the past decade, as well as an improving quality in ESG assessments because of a reliable corporate disclosure. Thus, despite investors have been applying ESG criteria in their stock – picking operations, the authors found a not positive and statistically significant impact in terms of market premium, when they have been undertaking a socially responsible investment (SRI). Practical implications The findings described above show that ethics is not yet a reliable fundraising tool for Italian-listed companies, despite SRIs having a positive growth rate over past decade. Investors seem to be not pricing CSR on Stock Exchange Market; therefore, listed companies cannot be rewarded with a premium price because of their highly stakeholder oriented behavior. Originality/value This paper explores, for the first time in Italy, when market extra-returns (if any) are related to corporate social performance and how managers leverage ethics to build capital added value.",353,Corporate social responsibility; Stock exchange; Accounting; Corporate governance; Business,0.583,Include,Include,Abstract matches 7 inclusion criteria terms — appears to meet eligibility requirements.
https://openalex.org/W2622872761,,Corporate Social Responsibility and Financial Performance: an Empirical Analysis of Malaysian Listed Firms,2017,Ming Wei Siw,Aaltodoc (Aalto University),"Objectives The main purpose of this paper is to examine the relationship between Corporate Social Responsibility (CSR) and Corporate Financial Performance (CFP) in the context of Malaysian listed firms between year 2014 and 2016. Summary This paper analysed the ROE and Tobin’s Q between CSR and Non-CSR firm in the Kuala Lumpur Composite Index (KLCI) between 2014 and 2016 to test for the presence of a bidirectional relationship between CSR and CFP as per literature. The KLCI firms were segregated into CSR and Non-CSR by consulting the FTSE4Good Bursa Malaysia Index (FBMI). Among the methods used to test this relationship were Student’s t-test, multivariate and logistic regression. Bootstrap confidence intervals of the regression coefficients were further used to determine the strength of the relationship. Conclusions This study found that there is a positive and significant relationship between CSR and CFP in that CSR one year lagged is followed by improved CFP in the financial year. CFP one year prior, however, does not seem to lead to decisions to engage in CSR. Therefore, this study proposes that Malaysian listed firms should engage in CSR as it forms a viable part of the strategy of a firm.",1,Business; Accounting; Corporate social responsibility; Empirical research; Finance,0.583,Include,Include,Abstract matches 7 inclusion criteria terms — appears to meet eligibility requirements.
https://openalex.org/W1591965321,,THE INFLUENCE OF CORPORATE SOCIAL RESPONSIBILITY (CSR) ON COMPANY FINANCIAL PERFORMANCE AND FIRM VALUE (An Empirical Study on the Manufacturing Companies Listed at Indonesia Stock Exchange (IDX) in 2011),2012,Gabriela Vidiananda; Erwin Saraswati,Jurnal Ilmiah Mahasiswa FEB,"The objective of this research is to observe the influence of Corporate  Social Responsibility (CSR) to financial performance and firm value. The  company financial performance is measured by using Return on Asset (ROA) and firm value is measured by Tobin’s Q. This research applies two control variables, those are: SIZE and leverage. As the samples of this research are 69 manufacturing companies listed at Indonesia Stock Exchange (IDX) in 2011 that are obtained  by using purposive judgment sampling method. The testing result with multiple linear regression test shows that Company Social Responsibility (CSR) has influence to company financial performance and firm value. The analysis result also show that SIZE as a control variable does not give influence to financial performance but it influence firm value. On the other hand, leverage as a variable control gives influence to both financial performance and firm value.    Keywords: Corporate Social Responsibility, financial performance, firm value,  SIZE, leverage.",1,Corporate social responsibility; Stock exchange; Leverage (statistics); Enterprise value; Business,0.583,Include,Include,Abstract matches 7 inclusion criteria terms — appears to meet eligibility requirements.
https://openalex.org/W2009153907,https://doi.org/10.5762/kais.2013.14.11.5586,Corporate Social Responsibility and Financial Performance: The impact of the MSCI ESG Ratings on Korean Firms,2013,Jin‐Wook Kim; Sung-Gon Chung; Cheongkyu Park,Journal of the Korea Academia-Industrial cooperation Society,"본 논문은 기업의 사회적 책임이 재무성과에 영향을 미치는지를 고찰하였다. 선행연구들은 지금까지 일관적이지 않은 결과를 보여주었으며, 본 연구는 기업의 사회책임이 기업의 재무성과에 긍정적인 영향을 미친다는 것을 발견하였다. 모건스탠리에서 발간되는 한국기업의 사회적 책임 성과평가 자료를 분석한 결과, 기업의 사회적 책임과 자본시장에서의 재무성과 간에 양의 상관관계가 있음을 발견하였다. 구체적으로 회귀분석의 결과 기업의 사회책임 평가가 한 단계 높으면 주가수익률이 평균 3.4% 정도 높은 것으로 나타났다. 본 연구의 결과는 다른 나라의 자료를 토대로 하는 선행연구의 결과를 지지하며, 한국기업의 사회적 책임에 대한 체계적이고 분석적인 평가 결과를 제공하였다는 데에 의의가 있다. This study investigates how the Corporate Social Responsibility (CSR) performance of a firm is associated with its financial performance in the stock market. Prior studies provide mixed evidence on the relation between CSR and financial performance. This study sheds some lights on the positive effect of CSR on firms' financial performance. Using a unique set of data on CSR performance of Korean firms provided by Morgan Stanley Capital International (MCSI), we find that firms' CSR performance is positively associated with their contemporaneous stock returns and Tobin's Q in the Korean market. This finding suggests that stock market participants value firms' CSR activities. This is the first study that provides empirical evidence on the existence of the positive association between the CSR performance of Korean firms and their financial performance using MCSI data which is considered more reliable than the data used in the prior CSR studies in Korea.",40,Corporate social responsibility; Business; Accounting; Stock market; Stock (firearms),0.583,Include,Include,Abstract matches 7 inclusion criteria terms — appears to meet eligibility requirements.
https://openalex.org/W3186423260,https://doi.org/10.3390/su13158197,Factors Influencing Corporate Social Responsibility Disclosure and Its Impact on Financial Performance: The Case of Vietnam,2021,Nguyen Thanh Hung; Quang Trong Vu; Duc Minh Nguyen; Hoang Long Le,Sustainability,"The study examines the impact of company size, industry sensitivity, government ownership, liquidity and company age on Corporate Social Responsibility Disclosure (CSRD) in 2019 annual reports of listed companies on the Vietnam stock market. We also consider the relationship between CSRD and the financial performance measured by return on assets (ROA) and return on equity (ROE). This study uses descriptive statistics and regression methods to test research hypotheses. The empirical findings show that company characteristics, including firm size, liquidity, government ownership and environmental industry sensitivity, are positively associated with firms’ CSRD level. Firm age does not influence the CSRD of listed companies. The CSRD significantly affects both ROA and ROE. Our study provides several suggestions to promote the CSR information disclosure of listed companies and enhance their social responsibility for sustainable development.",51,Corporate social responsibility; Return on assets; Business; Return on equity; Accounting,0.583,Include,Include,Abstract matches 7 inclusion criteria terms — appears to meet eligibility requirements.
