component,case_id,field_class,null_status,historical_verdict,population_count,planned_initial_sample
screening,1,,,INCLUDE,22,22
screening,1,,,EXCLUDE,68,30
screening,2,,,INCLUDE,72,30
screening,2,,,EXCLUDE,2731,30
screening,3,,,INCLUDE,841,30
screening,3,,,EXCLUDE,5104,30
screening,4,,,INCLUDE,2444,30
screening,4,,,EXCLUDE,7485,30
screening,5,,,INCLUDE,469,30
screening,5,,,EXCLUDE,3978,30
screening,6,,,INCLUDE,584,30
screening,6,,,EXCLUDE,3384,30
screening,7,,,INCLUDE,77,30
screening,7,,,EXCLUDE,4025,30
screening,8,,,INCLUDE,308,30
screening,8,,,EXCLUDE,7400,30
screening,9,,,INCLUDE,580,30
screening,9,,,EXCLUDE,3382,30
screening,10,,,INCLUDE,354,30
screening,10,,,EXCLUDE,639,30
screening,11,,,INCLUDE,253,30
screening,11,,,EXCLUDE,4670,30
screening,12,,,INCLUDE,1720,30
screening,12,,,EXCLUDE,6913,30
screening,13,,,INCLUDE,340,30
screening,13,,,EXCLUDE,3589,30
screening,14,,,INCLUDE,1086,30
screening,14,,,EXCLUDE,2874,30
screening,15,,,INCLUDE,1350,30
screening,15,,,EXCLUDE,4538,30
screening,16,,,INCLUDE,1694,30
screening,16,,,EXCLUDE,5367,30
screening,17,,,INCLUDE,394,30
screening,17,,,EXCLUDE,605,30
screening,18,,,INCLUDE,2605,30
screening,18,,,EXCLUDE,2281,30
screening,19,,,INCLUDE,314,30
screening,19,,,EXCLUDE,61,30
screening,20,,,INCLUDE,3769,30
screening,20,,,EXCLUDE,6152,30
extraction,1,categorical,nonnull,CORRECT,95,10
extraction,1,categorical,nonnull,INCORRECT,3,3
extraction,1,categorical,null,UNVERIFIABLE,34,10
extraction,1,potentially_synthesis_critical,nonnull,CORRECT,15,10
extraction,1,potentially_synthesis_critical,nonnull,INCORRECT,1,1
extraction,1,potentially_synthesis_critical,null,UNVERIFIABLE,72,10
extraction,2,categorical,nonnull,CORRECT,291,10
extraction,2,categorical,nonnull,UNVERIFIABLE,3,3
extraction,2,categorical,null,UNVERIFIABLE,66,10
extraction,2,potentially_synthesis_critical,nonnull,CORRECT,128,10
extraction,2,potentially_synthesis_critical,nonnull,INCORRECT,3,3
extraction,2,potentially_synthesis_critical,null,UNVERIFIABLE,157,10
extraction,3,categorical,nonnull,CORRECT,2499,10
extraction,3,categorical,nonnull,INCORRECT,24,10
extraction,3,categorical,nonnull,UNVERIFIABLE,3,3
extraction,3,categorical,null,CORRECT,5,5
extraction,3,categorical,null,UNVERIFIABLE,833,10
extraction,3,other_numeric,nonnull,CORRECT,282,10
extraction,3,other_numeric,nonnull,INCORRECT,23,10
