case_id,slug,raw_rows,screened_rows,included_rows,extracted_rows,raw_missing_abstract,raw_missing_doi,raw_duplicate_doi_rows,raw_duplicate_title_rows,extracted_not_included,included_not_extracted,lineage_status
1,nurse_staffing_mortality,90,90,22,22,0,0,0,0,0,0,complete_stage_linkage
2,mindfulness_anxiety,2803,2803,72,72,207,124,0,0,0,0,complete_stage_linkage
3,glp1_cardiovascular,5945,5945,841,841,0,24,0,1,0,0,complete_stage_linkage
4,ai_radiology_diagnosis,9929,9929,2444,2444,0,26,0,0,0,0,complete_stage_linkage
5,cash_transfers_education,4447,4447,469,469,0,512,0,1,0,0,complete_stage_linkage
6,social_media_mental_health,3968,3968,584,584,1,48,0,0,0,0,complete_stage_linkage
7,restorative_justice_recidivism,4102,4102,77,77,94,2520,0,10,0,0,complete_stage_linkage
8,gender_pay_gap,7708,7708,308,308,0,1805,0,1,0,0,complete_stage_linkage
9,intelligent_tutoring_scores,3962,3962,580,580,0,188,0,0,0,0,complete_stage_linkage
10,game_based_learning_motivation,993,993,354,354,261,95,0,0,0,0,complete_stage_linkage
11,class_size_achievement,4923,4923,253,253,0,1221,0,1,0,0,complete_stage_linkage
12,llm_higher_education,8633,8633,1720,1720,136,5269,0,16,0,0,complete_stage_linkage
13,marine_protected_areas,3929,3929,340,340,1,388,0,1,0,0,complete_stage_linkage
14,reforestation_carbon,3960,3960,1086,1086,0,134,0,0,0,0,complete_stage_linkage
15,indoor_air_pollution_health,5888,5888,1350,1350,1,300,0,2,0,0,complete_stage_linkage
16,microplastics_freshwater,7061,7061,1694,200,206,180,0,0,0,1494,partial_extraction_coverage
17,llm_reasoning_benchmarks,999,999,394,200,33,50,0,0,0,194,partial_extraction_coverage
18,federated_learning_privacy,4886,4886,2605,200,0,29,0,0,0,2405,partial_extraction_coverage
19,ai_ethics_autonomous_systems,375,375,314,200,50,18,0,0,0,114,partial_extraction_coverage
20,deep_learning_predictive_maintenance,9921,9921,3769,200,0,236,0,0,0,3569,partial_extraction_coverage
