sample_id,case_id,record_id,source_row_number,field_name,field_class,declared_type,extracted_null_status,historical_evaluator_verdict,stratum_population,stratum_sample,selection_probability,master_seed
EXT-01-ed5aa669382f,1,7db7d2cfc923d99a30dbd0af,15,country,categorical,categorical,nonnull,CORRECT,95,10,0.10526315789473684,20260919
EXT-01-88d69f9f616a,1,027daea78e93335270016a02,11,study_design,categorical,categorical,nonnull,CORRECT,95,10,0.10526315789473684,20260919
EXT-01-930e194a7cab,1,02f24e6814adb18437f4899e,19,study_design,categorical,categorical,nonnull,CORRECT,95,10,0.10526315789473684,20260919
EXT-01-ef6739a42108,1,a287c5c84cdb3218b4baa147,23,comparison,categorical,categorical,nonnull,CORRECT,95,10,0.10526315789473684,20260919
EXT-01-70e6c594ef22,1,a2a540a3512d12ae90cc0f09,17,study_design,categorical,categorical,nonnull,CORRECT,95,10,0.10526315789473684,20260919
EXT-01-37ce4aba66fb,1,6f16ee62063f51e6b5f3fa0f,14,study_design,categorical,categorical,nonnull,CORRECT,95,10,0.10526315789473684,20260919
EXT-01-6fa3cc87f226,1,d6824dea8373c7c39889346f,8,intervention,categorical,categorical,nonnull,CORRECT,95,10,0.10526315789473684,20260919
EXT-01-6c4628b565fa,1,965915a3c80d45270b158223,21,outcome,categorical,categorical,nonnull,CORRECT,95,10,0.10526315789473684,20260919
EXT-01-007543d6b2a8,1,dfeaee932b7d4005121d89a9,20,population,categorical,categorical,nonnull,CORRECT,95,10,0.10526315789473684,20260919
EXT-01-6ad370713099,1,97628de7bcf71ce3ce231eec,13,population,categorical,categorical,nonnull,CORRECT,95,10,0.10526315789473684,20260919
EXT-01-e43ecc1b169f,1,db2bb999628f291b6b95448e,6,country,categorical,categorical,nonnull,INCORRECT,3,3,1.0,20260919
EXT-01-c90084204630,1,15a19c866720bbc831acf698,22,intervention,categorical,categorical,nonnull,INCORRECT,3,3,1.0,20260919
EXT-01-74ff18794044,1,97628de7bcf71ce3ce231eec,13,country,categorical,categorical,nonnull,INCORRECT,3,3,1.0,20260919
EXT-01-08c1b359c821,1,027daea78e93335270016a02,11,comparison,categorical,categorical,null,UNVERIFIABLE,34,10,0.29411764705882354,20260919
EXT-01-c4a471eaa496,1,a2a540a3512d12ae90cc0f09,17,comparison,categorical,categorical,null,UNVERIFIABLE,34,10,0.29411764705882354,20260919
