sample_id,case_id,record_id,source_row_number,historical_llm_decision,stratum_population,stratum_sample,selection_probability,master_seed
SCR-01-b2c21f5c3a86,1,c4478af3cee2003259d92cec,50,INCLUDE,22,22,1.0,20260919
SCR-01-c8f6171e864f,1,ba610a382258c9f02adb9c39,77,INCLUDE,22,22,1.0,20260919
SCR-01-d33257d56ec0,1,5df8f0cff0f4e26e520e70c5,3,INCLUDE,22,22,1.0,20260919
SCR-01-3d4a2dd44017,1,4a335dfca033818b5cd77d8a,82,INCLUDE,22,22,1.0,20260919
SCR-01-a7f061394abf,1,9cb0b44e7c783da6dba106e4,75,INCLUDE,22,22,1.0,20260919
SCR-01-f0105ebbe494,1,7dc71166a0669286244a3443,68,INCLUDE,22,22,1.0,20260919
SCR-01-600251380331,1,74c74b90f43d37e96d969169,69,INCLUDE,22,22,1.0,20260919
SCR-01-93434c5442b8,1,7201ef53264e751926f3815c,42,INCLUDE,22,22,1.0,20260919
SCR-01-a66be905fc65,1,26f36465f4a213a180a941ee,47,INCLUDE,22,22,1.0,20260919
SCR-01-b3b2d2705ca5,1,c818569fa7dd3a3ad3b18fae,51,INCLUDE,22,22,1.0,20260919
SCR-01-5d99e9298e38,1,7876d53ec047de36739d6c57,35,INCLUDE,22,22,1.0,20260919
SCR-01-da5c40c3005a,1,812e962c4056c3424374da74,29,INCLUDE,22,22,1.0,20260919
SCR-01-754308a1ec86,1,0512278ca2d2005fbc514a0f,70,INCLUDE,22,22,1.0,20260919
SCR-01-07084b82c272,1,d043a60ebf7f3a011cef01e9,84,INCLUDE,22,22,1.0,20260919
SCR-01-63920fd3e0af,1,105b5ad33b35368346287587,83,INCLUDE,22,22,1.0,20260919
SCR-01-9994b83c66c3,1,f94c2a534f8c587b43bc6729,18,INCLUDE,22,22,1.0,20260919
SCR-01-198da16f0b2c,1,d502a26f35fa2d36ec674697,8,INCLUDE,22,22,1.0,20260919
SCR-01-813c7970f1df,1,244b9d4c22c652fbea855f2d,5,INCLUDE,22,22,1.0,20260919
SCR-01-e0f8d6f7cd60,1,65bb57c72322a4b443eb58f4,52,INCLUDE,22,22,1.0,20260919
SCR-01-9813cfadea2c,1,47ec9b89e295f599acd6ef87,80,INCLUDE,22,22,1.0,20260919
SCR-01-304317d86051,1,17e219aadc9e023c2815e0dd,67,INCLUDE,22,22,1.0,20260919
SCR-01-ca69b3d3932d,1,54b730c24b3236f401793b27,81,INCLUDE,22,22,1.0,20260919
SCR-01-7de25d08aea7,1,b2eb273b17cfe2e9ac976184,63,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-a8a677b36da1,1,97c5070014df9ea6cf5b1dde,30,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-08b99f4a9d47,1,e0f9a46986fa20476c5fdd96,44,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-bcfa4186f26c,1,b4f37475dde9a334e6e51298,17,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-b417bd915447,1,f0e9f37773e26a03f930c001,87,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-972b6aa33da2,1,52dcd1bda7253a4d557660d4,72,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-e5a8d8273def,1,0dc636a5aa2d14087b6c464a,64,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-adf2db14459c,1,6bb73e8db8614952325bec7a,25,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-bf1e5a5cda54,1,d86b1ef1486f56108ae0cc48,49,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-10a476f31163,1,6b0b6c7cd74a0fd8358fc478,26,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-0a6a9317c683,1,a14da6c0c535e4991f3c6269,28,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-2212635df1c8,1,0d0e0d8faaea8e8803a8e92d,79,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-cef9bbb1d22b,1,cc6e6ed0028a4f06740aa98f,10,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-37fbc8c6243e,1,8bc577b586a0804882b54150,23,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-347bcd2349eb,1,91d3078b3039c4a22e47866c,9,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-11a71558a7ad,1,0f08e5e95c8a4a03482ead37,15,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-91fd67fb70d9,1,a7689d24f942a9ef822d1998,31,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-bddb91807ac1,1,faeecfb98b9899866178e749,33,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-6a2a2c445605,1,0b079073267cf09a1351eaef,61,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-87f50f018248,1,c76da4c25c721169a1b70728,62,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-5ce6c95c1286,1,3579061e0a75c0ed03a7f4bb,56,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-39d100b0c3d4,1,c64c57a402a02698d8a25cb4,58,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-2b990ed89937,1,d27d4388238370a6f6bb90d1,66,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-a492231919e5,1,512b4fd1036f60b22e44b22e,13,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-ee24b67d8ddb,1,28722a419cd4239ac6d1a002,55,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-440d21c9b11b,1,ad16f39ba8c6704cf11eebab,91,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-29d7725b8f52,1,6dfc234e1da4ff4af09bc916,46,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-1d81c8539bc6,1,79ddc16214821e8767d3e269,7,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-3c1b21a18140,1,3ef81c0532d372c528464bc3,27,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-01-ea97645c9815,1,9c4f82c45e52a536f6bc3ede,4,EXCLUDE,68,30,0.4411764705882353,20260919
SCR-02-46e797e1c268,2,ccc9099de1628d7fa3bd06f4,465,INCLUDE,72,30,0.4166666666666667,20260919
SCR-02-869c65e23978,2,23dada475ae1f3a82149abaf,436,INCLUDE,72,30,0.4166666666666667,20260919
SCR-02-d39ec80b8662,2,aa977f23e4f9e8c59c6a9106,1297,INCLUDE,72,30,0.4166666666666667,20260919
SCR-02-b891f15465bb,2,f2281f7c2e8cf3a0eac27244,1024,INCLUDE,72,30,0.4166666666666667,20260919
