case_id,slug,n_records,mean_cat_accuracy,mean_num_accuracy,accuracy_basis,study_design_accuracy,study_design_method,country_accuracy,country_method,population_accuracy,population_method,intervention_accuracy,intervention_method,comparison_accuracy,comparison_method,outcome_accuracy,outcome_method,sample_size_accuracy,sample_size_method,effect_size_accuracy,effect_size_method,ci_lower_accuracy,ci_lower_method,ci_upper_accuracy,ci_upper_method,drug_accuracy,drug_method,follow_up_years_accuracy,follow_up_years_method,hazard_ratio_accuracy,hazard_ratio_method,imaging_modality_accuracy,imaging_modality_method,ai_model_type_accuracy,ai_model_type_method,task_accuracy,task_method,sensitivity_accuracy,sensitivity_method,specificity_accuracy,specificity_method,auc_accuracy,auc_method,programme_accuracy,programme_method,platform_accuracy,platform_method,age_group_accuracy,age_group_method,programme_type_accuracy,programme_type_method,follow_up_months_accuracy,follow_up_months_method,recidivism_rate_treatment_accuracy,recidivism_rate_treatment_method,recidivism_rate_control_accuracy,recidivism_rate_control_method,sector_accuracy,sector_method,gap_measure_accuracy,gap_measure_method,year_accuracy,year_method,gap_percent_accuracy,gap_percent_method,system_name_accuracy,system_name_method,subject_accuracy,subject_method,grade_level_accuracy,grade_level_method,game_type_accuracy,game_type_method,outcome_measure_accuracy,outcome_measure_method,education_level_accuracy,education_level_method,school_level_accuracy,school_level_method,class_size_treatment_accuracy,class_size_treatment_method,class_size_control_accuracy,class_size_control_method,llm_tool_accuracy,llm_tool_method,use_case_accuracy,use_case_method,discipline_accuracy,discipline_method,outcome_direction_accuracy,outcome_direction_method,mpa_type_accuracy,mpa_type_method,species_group_accuracy,species_group_method,years_protected_accuracy,years_protected_method,forest_type_accuracy,forest_type_method,age_years_accuracy,age_years_method,carbon_stock_tC_ha_accuracy,carbon_stock_tC_ha_method,fuel_type_accuracy,fuel_type_method,water_body_type_accuracy,water_body_type_method,polymer_type_accuracy,polymer_type_method,concentration_items_L_accuracy,concentration_items_L_method,model_name_accuracy,model_name_method,benchmark_accuracy,benchmark_method,task_type_accuracy,task_type_method,accuracy_percent_accuracy,accuracy_percent_method,parameter_count_B_accuracy,parameter_count_B_method,aggregation_algorithm_accuracy,aggregation_algorithm_method,privacy_mechanism_accuracy,privacy_mechanism_method,dataset_accuracy,dataset_method,n_clients_accuracy,n_clients_method,privacy_budget_epsilon_accuracy,privacy_budget_epsilon_method,ethical_framework_accuracy,ethical_framework_method,application_domain_accuracy,application_domain_method,methodology_accuracy,methodology_method,key_principle_accuracy,key_principle_method,industry_sector_accuracy,industry_sector_method,dl_architecture_accuracy,dl_architecture_method,fault_type_accuracy,fault_type_method,dataset_size_accuracy,dataset_size_method,f1_score_accuracy,f1_score_method
1,nurse_staffing_mortality,22,0.9685,0.9722,judge verdict,1.0,judge_verdict,0.8667,judge_verdict,1.0,judge_verdict,0.9444,judge_verdict,1.0,judge_verdict,1.0,judge_verdict,0.8889,judge_verdict,1.0,judge_verdict,1.0,judge_verdict,1.0,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,mindfulness_anxiety,72,1.0,0.9796,judge verdict,1.0,judge_verdict,1.0,judge_verdict,1.0,judge_verdict,1.0,judge_verdict,,,1.0,judge_verdict,0.9851,judge_verdict,0.9333,judge_verdict,1.0,judge_verdict,1.0,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,glp1_cardiovascular,841,0.9912,0.9663,judge verdict,0.9921,judge_verdict,0.9937,judge_verdict,,,,,,,0.9844,judge_verdict,0.9777,judge_verdict,,,0.995,judge_verdict,0.9951,judge_verdict,0.9948,judge_verdict,0.9045,judge_verdict,0.9592,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ai_radiology_diagnosis,2444,0.9926,0.9417,judge verdict,0.9895,judge_verdict,,,,,,,,,,,0.966,judge_verdict,,,,,,,,,,,,,0.9917,judge_verdict,0.9966,judge_verdict,0.9926,judge_verdict,0.9474,judge_verdict,0.9641,judge_verdict,0.8891,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,cash_transfers_education,469,0.9949,0.9804,judge verdict,0.9949,judge_verdict,0.9955,judge_verdict,,,,,,,0.9956,judge_verdict,0.9324,judge_verdict,0.989,judge_verdict,1.0,judge_verdict,1.0,judge_verdict,,,,,,,,,,,,,,,,,,,0.9935,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,social_media_mental_health,584,0.989,0.9903,judge verdict,0.9959,judge_verdict,0.9889,judge_verdict,,,,,,,0.9949,judge_verdict,0.9882,judge_verdict,1.0,judge_verdict,0.9865,judge_verdict,0.9865,judge_verdict,,,,,,,,,,,,,,,,,,,,,0.9815,judge_verdict,0.9837,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,restorative_justice_recidivism,77,0.9896,0.9911,judge verdict,1.0,judge_verdict,0.9583,judge_verdict,,,,,,,1.0,judge_verdict,0.9643,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,judge_verdict,1.0,judge_verdict,1.0,judge_verdict,1.0,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,gender_pay_gap,308,0.9841,0.954,judge verdict,1.0,judge_verdict,0.9484,judge_verdict,,,,,,,,,1.0,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9915,judge_verdict,0.9966,judge_verdict,0.9084,judge_verdict,0.9535,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,intelligent_tutoring_scores,580,0.9955,0.994,judge verdict,1.0,judge_verdict,1.0,judge_verdict,,,,,,,,,0.9943,judge_verdict,0.9818,judge_verdict,1.0,judge_verdict,1.0,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9869,judge_verdict,0.9957,judge_verdict,0.9947,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,game_based_learning_motivation,354,0.9917,0.8647,judge verdict,1.0,judge_verdict,0.9913,judge_verdict,,,,,,,,,0.9901,judge_verdict,0.9688,judge_verdict,0.75,judge_verdict,0.75,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9884,judge_verdict,0.9887,judge_verdict,0.9899,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
