ID,DOI,Title,Year,Authors,Venue,Abstract,Citations,Concepts,Relevance_Score,AL_Decision,LLM_Decision,LLM_Justification
41931358,10.1097/md.0000000000048134,"Effectiveness of mindfulness-based stress reduction in managing fatigue, anxiety, and depression among non-small cell lung cancer patients receiving surgery and adjuvant chemotherapy: A randomized controlled trial.",2026.0,"Liu X, Chen H, Cheng Y, Xu X, Shixing H, He M, Luo Y.",,"<h4>Background</h4>Non-small cell lung cancer (NSCLC) patients undergoing surgery and adjuvant chemotherapy often experience debilitating physical and psychological symptoms, including cancer-related fatigue, anxiety, and depression. Mindfulness-based stress reduction (MBSR) has emerged as a complementary intervention to alleviate these burdens and enhance quality of life, but evidence in NSCLC populations remains limited.<h4>Methods</h4>This randomized controlled trial enrolled 80 NSCLC patients, evenly divided into an MBSR group and a Control group. The MBSR group underwent an 8-week mindfulness program, while the Control group received standard care. Outcomes, including fatigue (Piper Fatigue Scale), anxiety (Self-Rating Anxiety Scale), depression (Self-Rating Depression Scale), self-efficacy (General Self-Efficacy Scale), and mindfulness awareness (Mindful Attention Awareness Scale), were assessed at 4 time points: baseline (before surgery), at the fourth week (before chemotherapy), and at 1 and 3 months post-intervention. Statistical analyses included repeated-measures ANOVA and t tests to evaluate group differences.<h4>Results</h4>The MBSR group demonstrated significant improvements across all outcomes compared to the Control group. Fatigue levels in the MBSR group peaked at the fourth week but returned close to baseline levels by 3 months post-intervention, while the Control group maintained elevated fatigue scores (P < .05). Anxiety (Self-Rating Anxiety Scale) and depression (Self-Rating Depression Scale) scores significantly decreased in the MBSR group by the fourth week and continued to improve at subsequent time points (P < .01). Self-efficacy (General Self-Efficacy Scale) and mindfulness awareness (Mindful Attention Awareness Scale) showed consistent improvements in the MBSR group, with significant differences evident at 1 and 3 months post-intervention (P < .01).<h4>Conclusions</h4>Mindfulness-based stress reduction effectively reduced fatigue, anxiety, and depression while enhancing self-efficacy and mindfulness awareness in NSCLC patients undergoing surgery and chemotherapy. These findings support the integration of mindfulness-based interventions into routine care to improve patient well-being during and after treatment.",0,,0.667,Include,Include,Matches 8 inclusion term(s).
42133556,10.2196/84328,A Self-Guided App-Based Mindfulness Intervention for Racially and Ethnically Minoritized Individuals Who Experience Discrimination-Related Mental Health Symptoms: Randomized Controlled Trial.,2026.0,"Ramos G, Montoya AK, Aguilera A, Lau AS, Enders CK, Wen Y, Chavira DA.",,"<h4>Background</h4>Racially and ethnically minoritized individuals (REMs) who experience discrimination are at risk of developing stress, anxiety, and depression, and digital mental health interventions (DMHIs) can make evidence-based treatments such as mindfulness available to these groups. However, REMs are significantly underrepresented in the overall DMHI and mindfulness-based DMHI literature, limiting our understanding of the effectiveness and feasibility of these digital tools to advance mental health equity for these populations.<h4>Objective</h4>This randomized controlled trial evaluated the effectiveness of a 4-week self-guided app-based mindfulness DMHI versus treatment as usual (TAU) in reducing discrimination-related stress, anxiety, and depressive symptoms among REMs, while assessing feasibility metrics, including uptake, engagement, dropout, and program satisfaction.<h4>Methods</h4>A total of 155 participants (mean age 27.28, SD 9.6 years) were randomized to either receive the DMHI (n=80) or TAU (n=75). Participants in the DMHI group underwent an onboarding procedure and were asked to complete 1 meditation daily for 4 weeks. Participants in the TAU group were encouraged to seek mental health services on their own. The racial and ethnic composition of the sample was 38.7% (60/155) Latinx, 37.4% (58/155) Asian, 11.6% (18/155) Black, 10.3% (16/155) Multiracial, and 2% (3/155) Native American. Mean differences between groups were examined using multilevel regression models, applying a false discovery rate (FDR) correction across all fixed effects. Treatment effect sizes and clinical significance were calculated using pseudo-R2s and the percentage of participants who achieved a minimal clinically significant difference (MCID), respectively. Feasibility outcomes were examined descriptively and included the percentage of participants who accessed the DMHI, days using it, meditations completed, total time meditated, the percentage of participants who dropped out of the study, and self-reported treatment satisfaction.<h4>Results</h4>Compared with participants in the TAU group, participants in the DMHI group experienced greater reductions in stress (β=-4.52, 95% CI -6.54 to -2.51; FDR-adjusted P<.001; pseudo-R2=.41; MCID=61%, 49/80), anxiety (β=-3.31, 95% CI -4.89 to -1.74; FDR-adjusted P<.001; pseudo-R2=.45; MCID=48%, 38/80), and depression (β=-2.84, 95% CI -4.57 to -1.12; FDR-adjusted P=.004; pseudo-R2=.53; MCID=54%, 43/80) by the end of the program. All participants in the DMHI group downloaded the app (80/80, 100%) and used it, on average, 16.83 (SD 7.8) days, completed 24.85 (SD 23.3) mediations, and meditated 238.67 (SD 260.7) minutes. Of all participants, 12 (12/155, 8%) dropped out of this study. Most dropouts occurred in the intervention group (11/80, 14%). Participants perceived the DMHI program as satisfactory by the end of treatment (mean treatment satisfaction 23.14, SD 4.9).<h4>Conclusions</h4>These findings position this self-guided app-based mindfulness DMHI as an effective and feasible strategy for mitigating the deleterious mental health consequences of exposure to discrimination among REMs.",0,,0.667,Include,Include,Matches 8 inclusion term(s).
42189223,10.1080/20008066.2026.2664277,Effects of virtual reality mindfulness interventions on depression and anxiety: a meta-analysis.,2026.0,"He X, Ren Y, Bian Q, Wang Y, Wang X.",,"<b>Background:</b> Depression and anxiety are common mental health problems that frequently co-occur with trauma-related disorders and often develop following traumatic or stressful events, substantially impairing quality of life. Mindfulness-based interventions have been shown to reduce these symptoms; however, their widespread implementation is often limited by poor accessibility and low adherence. Virtual reality (VR) may enhance mindfulness delivery through immersive experiences, but the overall efficacy of VR-based mindfulness interventions and the factors influencing their effectiveness remain unclear.<b>Objective:</b> This exploratory meta-analysis aimed to evaluate the effectiveness of VR-based mindfulness interventions in reducing depressive and anxiety symptoms and to explore potential moderators (population, region, immersion level, and intervention duration).<b>Methods:</b> A systematic literature search was conducted in PubMed, Web of Science and other databases up to 2025. Randomized controlled trials (RCTs) investigating VR-based mindfulness interventions for depression and/or anxiety were included. Meta-analyses were conducted using RevMan 5.4, calculating standardized mean differences (SMDs) with 95% confidence intervals (CIs).<b>Results:</b> Fifteen RCTs involving 864 participants were included. VR-based mindfulness interventions were associated with significant reductions in depressive and anxiety symptoms. Subgroup analyses indicated larger effect sizes among older adults (SMD = -1.40, <i>p</i> = .005) and in studies conducted in Eastern regions (SMD = -1.07, <i>p</i> < .00001). Both immersive and semi-immersive VR formats were effective. Interventions of short duration (≤4 weeks) and moderate duration (>6 to ≤8 weeks) showed benefits, and session lengths of ≤30 min were associated with greater symptom reduction (SMD = -0.93, <i>p</i> = .005).<b>Conclusions:</b> This exploratory meta-analysis suggests that VR-based mindfulness interventions are associated with reductions in depression and anxiety symptoms, moderated by intervention duration and regional cultural context. These findings support the potential of VR-based mindfulness as an accessible adjunctive approach, though high-quality studies with longer follow-up are needed to confirm sustained effects and improve generalizability.",0,,0.667,Include,Include,Matches 8 inclusion term(s).
42205961,10.3389/fpsyg.2026.1821354,The effect of mindfulness-based intervention on depression in family caregivers of dementia patients: a meta-analysis and GRADE evaluation.,2026.0,"Zhang X, Zhang X, Wang H, Wang X, Meng J, Yang Y, Zhang C.",,"<h4>Objective</h4>To evaluate the efficacy of MBI on depression among family caregivers of dementia patients, and to analyze the impact of intervention duration, follow-up period, and intervention methods on treatment outcomes.<h4>Methods</h4>Search Embase, The Cochrane Library, CINAHL, PubMed, SinoMed, CNKI, Wanfang, and VIP databases for randomized controlled trials on MBI for depression in family caregivers of dementia patients. The search period spans from the inception of each journal to November 10, 2025. Meta-analysis, Egger's test, and sensitivity analysis were performed using RevMan 5.4 and Stata 12.0 software.<h4>Results</h4>A total of 10 RCTs involving 563 participants were included. Meta-analysis results indicated that MBI effectively improved depressive symptoms among family caregivers of dementia patients (SMD = -0.66, 95% CI (-0.83, -0.49), <i>Z</i> = 7.57, <i>p</i> < 0.00001); Follow-up analysis indicated that the intervention remained effective at 3 months post-intervention (SMD = -0.32, 95% CI (-0.62, -0.03), <i>Z</i> = 2.13, <i>p</i> < 0.05), but no therapeutic effect was observed 6 months after the intervention (SMD = -0.89, 95% CI (-1.88, 0.09), <i>Z</i> = 1.78, <i>p</i> > 0.05). Subgroup analysis revealed that 8-week MBSR, mindfulness meditation, and ACT were effective (SMD = -0.62, 95% CI (-0.85, -0.39), <i>Z</i> = 5.24, <i>p</i> < 0.00001), while 10-week MBCT did not demonstrate efficacy (SMD = -0.69, 95% CI (-1.42, 0.03), <i>Z</i> = 1.88, <i>p</i> > 0.05). GRADE assessment indicated moderate certainty of the evidence.<h4>Conclusion</h4>MBI can improve depressive symptoms among family caregivers of dementia patients. The format of mindfulness, treatment duration, and follow-up timing influence the effectiveness of such interventions. Clinicians should prioritize selecting appropriate MBI protocols and formats, along with ensuring continuity of care and follow-up, to safeguard the sustained mental health of this vulnerable population.<h4>Systematic review registration</h4>This systematic review was registered with PROSPERO (registration number: CRD420251208383, registration date: November 10, 2025).",0,,0.667,Include,Include,Matches 8 inclusion term(s).
42247657,10.2196/91751,Self-Guided Internet-Based Mindfulness-Informed Stress Management for Generalized Anxiety Disorder: Randomized Controlled Trial With Longitudinal Network Analysis.,2026.0,"Wang Z, Tong HQ, Yue J, Wu S, Xia Y, Zhang H, Yang Y.",,"<h4>Background</h4>Generalized anxiety disorder (GAD) is characterized by stress-anxiety reinforcement cycles. Evidence for brief, self-guided, internet-based stress management as an adjunct to pharmacotherapy remains limited.<h4>Objective</h4>This study aimed to evaluate the efficacy of an 8-week self-guided, internet-based stress management program (iSM) incorporating mindfulness techniques as an adjunct to treatment as usual (TAU) in adults with GAD and to examine individual predictors of response and symptom dynamics.<h4>Methods</h4>A single-blind, parallel-group, superiority randomized controlled trial was conducted at Tongji Hospital, Wuhan, China. A total of 140 adults with GAD were randomly assigned to iSM+TAU (n=73) or TAU (n=67). Outcome assessors were blinded to group allocation. The iSM intervention consisted of 8 weekly self-guided online modules integrating mindfulness-based training and Baduanjin-based stretching exercises. TAU comprised routine pharmacotherapy. Primary outcomes were posttreatment changes in anxiety and depressive symptoms. Secondary outcomes included sleep quality, somatic symptoms, social functioning, mindfulness, rumination, and perceived stress. Exploratory cross-lagged panel network (CLPN) and random-intercept cross-lagged panel modeling (RI-CLPM) analyses were used to examine temporal symptom dynamics.<h4>Results</h4>All 140 randomized participants were included in the intention-to-treat analysis. Compared with TAU, iSM+TAU showed greater reductions at posttreatment in anxiety (Cohen d=-0.277, 95% CI -0.521 to -0.033) and depressive symptoms (Cohen d=-0.309, 95% CI -0.592 to -0.026). Significant between-group differences were also observed in somatic symptoms (Cohen d=-0.340, 95% CI -0.604 to -0.077), state anxiety (Cohen d=-0.537, 95% CI -0.849 to -0.224), mindfulness (Cohen d=0.666, 95% CI 0.327-1.006), rumination (Cohen d=-0.344, 95% CI -0.626 to -0.062), and perceived stress (Cohen d=-0.429, 95% CI -0.725 to -0.133), but not in sleep quality or social functioning. No serious adverse events were reported. Median session completion was 7 of 8. In exploratory analyses, higher baseline acting with awareness predicted greater treatment response (standardized β=0.167; 95% CI 0.031-0.335), whereas higher trait anxiety predicted poorer outcomes (standardized β=-0.150; 95% CI -0.234 to -0.002). CLPN and RI-CLPM identified 2 key within-person pathways, a bidirectional association between perceived stress (mean β=0.219; P<.001) and state anxiety (mean β=0.165; P=.02), and a unidirectional effect of mindfulness on subsequent anxiety reduction (mean β=-0.285; P<.001).<h4>Conclusions</h4>To our knowledge, this is the first trial to evaluate a brief, self-guided, culturally adapted digital mindfulness intervention as an adjunct to pharmacotherapy in Chinese adults with GAD. The intervention showed clinically meaningful benefits and practical potential as a scalable, resource-efficient approach. Unlike prior studies focused mainly on symptom outcomes alone, this trial combined a randomized design with CLPN and RI-CLPM analyses to provide preliminary insight into symptom change processes over time, adding a more process-oriented analytic perspective that may inform future intervention refinement.",0,,0.667,Include,Include,Matches 8 inclusion term(s).
41975444,10.1186/s13063-026-09697-1,Effect of brief online mindfulness-based cognitive therapy in patients with digital replantation: a study protocol for a randomized controlled trial.,2026.0,"Huang F, Wang W, Miao X, You M, Liu M, Tang W, Lu J.",,"<h4>Background</h4>Traumatic amputations are common traumatic injuries that require digital replantation to restore the form, function, and sensation of the hand. The post-surgical survival of replanted digits is influenced by multiple factors, including psychological factors such as posttraumatic stress disorder (PTSD), anxiety, and depression. Mindfulness-based cognitive therapy (MBCT) is considered a potential intervention to address such emotional distress. Traditionally, MBCT involves an 8-week face-to-face group format. Due to feasibility concerns regarding implementation and patient adherence, this study proposes a modified 4-week online version, referred to as brief online MBCT (eMBCT).<h4>Methods</h4>This study is a two-arm randomized controlled clinical trial. The control group will receive standard postoperative nursing care, while the intervention group will receive the eMBCT for 4 weeks. The primary outcome measure is PTSD symptom severity, assessed using the Stanford Acute Stress Reaction Questionnaire (SASRQ). Secondary outcomes include the Connor-Davidson Resilience Scale (CD-RISC), the General Self-Efficacy Scale (GSES), the EuroQol Five-Dimensional Health Scale (EQ-5D), and postoperative recovery status.<h4>Discussion</h4>This study aims to investigate the effects of a brief eMBCT program on PTSD symptoms, psychological resilience, self-efficacy, and clinical outcomes-specifically the incidence of vascular crisis and hand function recovery-in patients undergoing digital replantation.<h4>Trial registration</h4>ChiCTR2500101285 [Chinese Clinical Trial Registry; registered on 23 April 2025].",0,,0.583,Include,Include,Matches 7 inclusion term(s).
41934439,10.1002/cpp.70266,Mindfulness in Technology: Feasibility and Preliminary Efficacy of VR-Assisted Meditation Among Veterans With Disabilities.,2026.0,"Doğan U, Kuo HJ.",,"Veterans with physical disabilities may experience substantial psychological burden (e.g., PTSD symptoms) and practical barriers to accessing conventional mental health services. VR-assisted meditation could offer a low-threshold alternative, but evidence in this population remains limited. The objective of this study was to examine the feasibility, acceptability and preliminary efficacy of a VR-assisted meditation programme for veterans with disabilities. In a randomized controlled trial, 40 US veterans (mean age = 42 years) were assigned to either (a) weekly VR-assisted meditation sessions or (b) a no-intervention control condition. Psychological well-being (WHO-5), mindfulness (SMS), system usability (SUS) and user satisfaction (QUEST 2.0) were measured at baseline, post-intervention and follow-up. Compared with controls, the VR group showed higher post-intervention scores, with the clearest gains observed for psychological well-being and perceived system usability. Scores decreased slightly at follow-up but remained above the control condition. The pattern of benefits did not appear to differ by baseline anxiety level. VR-assisted meditation may be a feasible and acceptable approach for supporting well-being in veterans with disabilities. High perceived usability may support short-term engagement; however, the present findings are preliminary and do not establish clinical effectiveness or durability.",0,,0.583,Include,Include,Matches 7 inclusion term(s).
41894522,10.1371/journal.pone.0345784,Efficacy of a combined diving and mindfulness program on emotional eating in adults with obesity: Randomised controlled trial with standard care.,2026.0,"Griffiths K, Markarian T, Meurice V, Muzellec M, Lannoy F, Beneton F, Michelet P.",,"<h4>Background</h4>Emotional eating is considered as a mediator between depression and obesity. Combining mindfulness and sport activities can improve obesity-related psychological disorders but inconsistencies in effect and duration have been reported. We aimed to evaluate the effects of a combined mindfulness-diving Bathysmed® program on emotional eating scores in participants with obesity.<h4>Methods</h4>This unblinded randomized controlled trial was performed in the community setting, Montpellier, France. Adults with a BMI > 30 kg/m2 were randomly assigned (1:1) to a Bathysmed® 2-month program (intervention group) therapeutic scuba-diving protocol with mindfulness exercises plus standard care, or stand-alone standard care including dietary and psychological support (control group). The primary outcome was the mean change in the emotional eating subscale of the Dutch Eating Behaviour Questionnaire (DEBQ-EE) at 2-months as intention to treat.<h4>Findings</h4>Between July-August 2022, 63 participants were randomised, with 31 in the intervention group. One participant from each group were excluded. Fifty-five (87·3%) were female, median age 46 [35.5;54] and BMI 35.46 [33.45;39.48]. There was a statistically significant reduction of DEBQ-EE at 2 months in the intervention group (-0·82 (SD 0·81)) versus control group (-0·27 (SD 0·61) p = 0·004). This effect was maintained at 5 and 8-month follow up. There was a significant reduction in weight self-stigma, stress, and quality of life change scores in the intervention group.<h4>Interpretation</h4>This combined diving and mindfulness program effectively reduces emotional eating, self-stigma and quality of life scores in participants with obesity, with sustained benefits. Health policies should integrate physical activity and psychological therapies for obesity management.<h4>Trial registration</h4>Clinicaltrials NCT06882200.",0,,0.583,Include,Include,Matches 7 inclusion term(s).
42109285,10.3389/fpsyt.2026.1810049,Mindfulness-based intervention for patients with generalized anxiety disorder: a randomized controlled trial.,2026.0,"Zhang C, Zhang J, Sun L.",,"<h4>Background</h4>Despite growing interest in mindfulness-based interventions (MBI) for Generalized Anxiety Disorder (GAD), robust evidence for their adjunctive use alongside first-line pharmacotherapy is scarce. This study aimed to evaluate the efficacy of MBI as adjunct to pharmacotherapy in adults with GAD, assessing multidimensional outcomes.<h4>Methods</h4>In this randomized controlled trial, 106 adults diagnosed with DSM-5 GAD and on stable pharmacotherapy were randomly assigned to intervention group or control group (n=53). The intervention group received an 8-week, group-based MBI adapted from Mindfulness-Based Cognitive Therapy in addition to their ongoing pharmacotherapy. The control group received pharmacotherapy plus an active control condition consisting of structured psychoeducation (n=53). The primary outcome was the change in clinician-rated anxiety severity on the Hamilton Anxiety Rating Scale (HAMA). Secondary outcomes included self-reported anxiety (Self-Rating Anxiety Scale, SAS), mindfulness skills (Five Facet Mindfulness Questionnaire, FFMQ), sleep quality (Pittsburgh Sleep Quality Index, PSQI), negative cognitive bias (Negative Cognitive Processing Bias Questionnaire, NCPBQ), and psychosocial functioning (Global Assessment of Functioning-Modified, GAF-M). Linear mixed-effects model was used for analysis.<h4>Results</h4>The intervention group demonstrated a significantly greater reduction in HAMA scores post-intervention compared to the control group (18.6 vs. 22.5; <i>P</i> < 0.05), with a significant group × time interaction (Estimate = -3.68, <i>P</i> < 0.05). Significant between-group improvements favoring the intervention group were also confirmed across all secondary outcomes: SAS (Estimate = -4.29, <i>P</i> < 0.05), FFMQ (Estimate = 20.25, <i>P</i> < 0.05), PSQI (Estimate = -2.36, <i>P</i> < 0.05), NCPBQ (Estimate = -6.75, <i>P</i> < 0.05), and GAF-M (Estimate = 6.98, <i>P</i> < 0.05).<h4>Conclusion</h4>An adjunctive, 8-week MBI significantly reduces anxiety and enhances mindfulness, sleep, cognitive function, and psychosocial well-being in medicated GAD patients. These findings support integrating structured MBI into standard care to optimize functional recovery alongside symptom management.<h4>Trial registration</h4>The study was registered prior to conducting the research in the Chinese Clinical Trial Registry (https://www.chictr.org.cn) on September 26, 2024 with the trial identification number ChiCTR2400090284.",0,,0.583,Include,Include,Matches 7 inclusion term(s).
41637431,10.2196/79639,Mindfulness-Based Self-Management Program Using a Mobile App for Patients With Pulmonary Hypertension: Single-Arm Feasibility Study.,2026.0,"Takita Y, Morishita J, Park S, Goda A, Inami T, Kikuchi H, Kohno T, Kataoka M, Fujisawa D.",,"<h4>Background</h4>Mindfulness-based interventions have been applied across various chronic illnesses, but no tailored program exists for individuals with pulmonary hypertension (PH).<h4>Objective</h4>This study aimed to develop and evaluate the feasibility of a mindfulness-based self-management program for patients with PH, delivered online to accommodate their limited mobility.<h4>Methods</h4>A single-arm pre-post study was conducted using an 8-session, weekly videoconference program incorporating PH self-management education and elements of mindfulness-based cognitive therapy. A mobile app linked to an Apple Watch was used to support symptom monitoring and mindfulness awareness. Outcomes included PH-related symptoms, quality of life (emPHasis-10), depression (Patient Health Questionnaire-9 [PHQ-9]), anxiety (Generalized Anxiety Disorder 7-item scale [GAD-7]), resilience (Connor-Davidson Resilience Scale [CD-RISC]), and loneliness (UCLA Loneliness Scale-short version). Assessments occurred at baseline, week 4, and program completion. Exit interviews explored perceived changes and experiences.<h4>Results</h4>Twelve participants (mean age 41.8, SD 10.5 years; range 26-56 years) were enrolled, and 9 completed the program (75% retention). Participants valued the online format and Apple Watch integration, while noting a need for optional on-demand sessions. Qualitative analysis identified themes such as increased self-awareness, use of meditation for pain management, and enhanced self-compassion. Quantitative analysis showed significant changes across 3 time points (baseline, week 4, and week 8) for emPHasis-10 (χ²₂=9.74; P=.008) and CD-RISC (χ²₂=7.27; P=.03). Trends toward change were observed for PHQ-9 (χ²₂=4.75; P=.09) and GAD-7 (χ²₂=5.07; P=.08), but week 12 data were limited (n=5). No significant changes in loneliness were observed.<h4>Conclusions</h4>The program appeared to support patients with PH in managing symptoms and emotions and suggested potential improvements in quality of life. These preliminary findings warrant evaluation in a future randomized controlled trial.",0,,0.583,Include,Include,Matches 7 inclusion term(s).
