case_id,slug,n_total,n_included_llm,prevalence,llm_recall,llm_precision,llm_f1,al_recall,al_precision,al_f1,al_wss95,al_n_screened
1,nurse_staffing_mortality,90,22,0.2444,1.0,0.2444,0.3929,1.0,0.386,0.557,0.7278,57
2,mindfulness_anxiety,2803,72,0.0257,1.0,0.0257,0.0501,0.9583,0.0288,0.0558,0.1052,2400
3,glp1_cardiovascular,5945,841,0.1415,1.0,0.1415,0.2479,0.9501,0.1944,0.3228,0.2827,4110
4,ai_radiology_diagnosis,9929,2444,0.2461,1.0,0.2461,0.3951,0.9501,0.4827,0.6402,0.5357,4810
5,cash_transfers_education,4447,469,0.1055,1.0,0.1055,0.1908,0.951,0.1587,0.272,0.35,2810
6,social_media_mental_health,3968,584,0.1472,1.0,0.1472,0.2566,0.9538,0.1882,0.3143,0.3046,2960
7,restorative_justice_recidivism,4102,77,0.0188,1.0,0.0188,0.0369,0.961,0.0231,0.045,0.2313,3210
8,gender_pay_gap,7708,308,0.04,1.0,0.04,0.0768,0.9513,0.0408,0.0783,0.0782,7180
9,intelligent_tutoring_scores,3962,580,0.1464,1.0,0.1464,0.2554,0.9517,0.1693,0.2875,0.2834,3260
10,game_based_learning_motivation,993,354,0.3565,1.0,0.3565,0.5256,0.952,0.5525,0.6992,0.527,610
11,class_size_achievement,4923,253,0.0514,1.0,0.0514,0.0978,0.9526,0.0568,0.1073,0.0816,4240
12,llm_higher_education,8633,1720,0.1992,1.0,0.1992,0.3323,0.95,0.6261,0.7547,0.7125,2610
13,marine_protected_areas,3929,340,0.0865,1.0,0.0865,0.1593,0.95,0.1357,0.2375,0.3247,2380
14,reforestation_carbon,3960,1086,0.2742,1.0,0.2742,0.4304,0.9503,0.4546,0.615,0.524,2270
15,indoor_air_pollution_health,5888,1350,0.2293,1.0,0.2293,0.373,0.9504,0.3697,0.5324,0.4736,3470
16,microplastics_freshwater,7061,1694,0.2399,1.0,0.2399,0.387,0.9516,0.4187,0.5815,0.5642,3850
17,llm_reasoning_benchmarks,999,394,0.3944,1.0,0.3944,0.5657,0.9518,0.4747,0.6334,0.5626,790
18,federated_learning_privacy,4886,2605,0.5332,1.0,0.5332,0.6955,0.9512,0.6305,0.7584,0.2904,3930
19,ai_ethics_autonomous_systems,375,314,0.8373,1.0,0.8373,0.9115,0.9618,0.8882,0.9235,0.1153,340
20,deep_learning_predictive_maintenance,9921,3769,0.3799,1.0,0.3799,0.5506,0.9504,0.5307,0.6811,0.3632,6750
