case_id,slug,retained_rows,exact_duplicate_doi_groups,extra_rows_in_duplicate_doi_groups,exact_duplicate_title_groups,extra_rows_in_duplicate_title_groups,retained_candidate_pairs,human_review_status,removed_pair_audit_status,sampled_retained_pairs
1,nurse_staffing_mortality,90,0,0,0,0,0,pending,unavailable_no_removed_pair_log,0
2,mindfulness_anxiety,2803,0,0,23,23,44,pending,unavailable_no_removed_pair_log,9
3,glp1_cardiovascular,5945,0,0,8,8,37,pending,unavailable_no_removed_pair_log,5
4,ai_radiology_diagnosis,9929,0,0,5,5,26,pending,unavailable_no_removed_pair_log,2
5,cash_transfers_education,4447,0,0,37,38,63,pending,unavailable_no_removed_pair_log,16
6,social_media_mental_health,3968,0,0,6,6,12,pending,unavailable_no_removed_pair_log,4
7,restorative_justice_recidivism,4102,0,0,43,43,66,pending,unavailable_no_removed_pair_log,20
8,gender_pay_gap,7708,0,0,41,41,57,pending,unavailable_no_removed_pair_log,16
9,intelligent_tutoring_scores,3962,0,0,9,9,12,pending,unavailable_no_removed_pair_log,5
10,game_based_learning_motivation,993,0,0,1,1,3,pending,unavailable_no_removed_pair_log,1
11,class_size_achievement,4923,0,0,16,16,21,pending,unavailable_no_removed_pair_log,9
12,llm_higher_education,8633,0,0,42,42,127,pending,unavailable_no_removed_pair_log,24
13,marine_protected_areas,3929,0,0,10,10,18,pending,unavailable_no_removed_pair_log,5
14,reforestation_carbon,3960,0,0,6,6,12,pending,unavailable_no_removed_pair_log,5
15,indoor_air_pollution_health,5888,0,0,17,17,38,pending,unavailable_no_removed_pair_log,10
16,microplastics_freshwater,7061,0,0,126,126,132,pending,unavailable_no_removed_pair_log,62
17,llm_reasoning_benchmarks,999,0,0,0,0,2,pending,unavailable_no_removed_pair_log,0
18,federated_learning_privacy,4886,0,0,6,6,20,pending,unavailable_no_removed_pair_log,3
19,ai_ethics_autonomous_systems,375,0,0,1,1,2,pending,unavailable_no_removed_pair_log,1
20,deep_learning_predictive_maintenance,9921,0,0,9,9,21,pending,unavailable_no_removed_pair_log,3
