candidate_id,case_id,slug,record_id,source_row_number,estimate_field,reported_estimate,reported_ci_lower,reported_ci_upper,source_scale,analysis_scale,yi,sei,vi,interval_order_valid,estimate_within_interval,variance_derivation_valid,human_verified,independent_study_verified,common_estimand_verified,analysis_eligibility
MA-02-e67a2b6c40724f41103d13e0,2,mindfulness_anxiety,e67a2b6c40724f41103d13e0,2,effect_size,-0.25,-0.39,-0.1,reported_effect_scale,unverified_reported_effect_scale,-0.25,0.07398095125407483,0.005473181148457797,true,true,true,false,false,false,provisional_unverified
MA-02-657f73b039a66c2dbf5242ae,2,mindfulness_anxiety,657f73b039a66c2dbf5242ae,3,effect_size,-0.04,-0.58,0.51,reported_effect_scale,unverified_reported_effect_scale,-0.04,0.2780663340239364,0.07732088611751135,true,true,true,false,false,false,provisional_unverified
MA-02-a1857eab5430fa6644283855,2,mindfulness_anxiety,a1857eab5430fa6644283855,4,effect_size,-1.92,-3.44,-0.4,reported_effect_scale,unverified_reported_effect_scale,-1.92,0.775524454525474,0.601438179567034,true,true,true,false,false,false,provisional_unverified
MA-02-f007e4f2be9be9bd9f23b8aa,2,mindfulness_anxiety,f007e4f2be9be9bd9f23b8aa,5,effect_size,-0.277,-0.521,-0.033,reported_effect_scale,unverified_reported_effect_scale,-0.277,0.12449208348961556,0.01549827885158541,true,true,true,false,false,false,provisional_unverified
MA-02-7a47a884aa3690d938496ff1,2,mindfulness_anxiety,7a47a884aa3690d938496ff1,7,effect_size,-0.3817,-0.5407,-0.2228,reported_effect_scale,unverified_reported_effect_scale,-0.3817,0.08109842897817374,0.00657695518272789,true,true,true,false,false,false,provisional_unverified
MA-02-d19eb2dcb4920239cebce035,2,mindfulness_anxiety,d19eb2dcb4920239cebce035,8,effect_size,-0.605,-1.357,-0.044,reported_effect_scale,unverified_reported_effect_scale,-0.605,0.3349551344710353,0.11219494210850935,true,true,true,false,false,false,provisional_unverified
MA-02-ab8e92078997f6807ded49a9,2,mindfulness_anxiety,ab8e92078997f6807ded49a9,15,effect_size,0.175,0.048,0.303,reported_effect_scale,unverified_reported_effect_scale,0.175,0.06505221575789338,0.0042317907750115125,true,true,true,false,false,false,provisional_unverified
MA-02-04bb0a1cf5bc693c3036e3df,2,mindfulness_anxiety,04bb0a1cf5bc693c3036e3df,17,effect_size,0.53,0.31,0.75,reported_effect_scale,unverified_reported_effect_scale,0.53,0.11224696052342387,0.012599380146747077,true,true,true,false,false,false,provisional_unverified
MA-02-18042a6751bcd9680dfa0f43,2,mindfulness_anxiety,18042a6751bcd9680dfa0f43,21,effect_size,-2.97,-5.034,-0.904,reported_effect_scale,unverified_reported_effect_scale,-2.97,1.0535907885494105,1.1100535497161685,true,true,true,false,false,false,provisional_unverified
MA-02-f895e096acf21afd84a4236e,2,mindfulness_anxiety,f895e096acf21afd84a4236e,22,effect_size,-0.21,-0.41,-0.01,reported_effect_scale,unverified_reported_effect_scale,-0.21,0.10204269138493079,0.010412710865080228,true,true,true,false,false,false,provisional_unverified
