task,sample_id,case_id,field_name,repeat_index,requested_model_id,returned_model_id,call_status,attempts,started_utc,ended_utc,latency_ms,request_id,system_fingerprint,prompt_sha256,schema_sha256,output_value,output_reason,input_tokens,output_tokens,error_type,error_message_redacted
extraction,EXT-01-3b14f3a6cd35,1,comparison,1,gpt-5-mini,gpt-5-mini,ok,1,2026-09-19T17:13:41.296403+00:00,2026-09-19T17:13:46.837139+00:00,5540,chatcmpl-llm-router-openai,,57a10db9b65680b438993761e4f732008f916e2d0d1105eff5878aa043f7a862,ee1936563d15055318e22ddd9dd8fc35448fc422f31b3c88106961cb56bed03a,null,"The abstract/title do not specify a clear comparator group (they mention support for a 1:4 minimum nurse-to-patient ratio and suggest augmenting it with other methods, but do not state an explicit comparison such as 1:4 versus a specific alternative staffing pattern).",208,338,,
extraction,EXT-01-3b14f3a6cd35,1,comparison,2,gpt-5-mini,gpt-5-mini,ok,1,2026-09-19T17:13:42.306086+00:00,2026-09-19T17:13:50.389454+00:00,8083,chatcmpl-llm-router-openai,,57a10db9b65680b438993761e4f732008f916e2d0d1105eff5878aa043f7a862,ee1936563d15055318e22ddd9dd8fc35448fc422f31b3c88106961cb56bed03a,"""Minimum nurse-to-patient ratio of 1:4 versus other nurse-driven tools and nurse-management staffing methods/skill-mix patterns (more flexible staffing)""","Title asks about differences in outcomes for nurse staffing and skill mix patterns; abstract specifically supports a minimum nurse-to-patient ratio of 1:4 and recommends augmenting it with other nurse-driven and nurse-management staffing methods, indicating a comparison between the 1:4 ratio and alternative/more flexible staffing approaches.",208,377,,
extraction,EXT-01-3b14f3a6cd35,1,comparison,3,gpt-5-mini,gpt-5-mini,ok,1,2026-09-19T17:13:42.448316+00:00,2026-09-19T17:13:47.789899+00:00,5341,chatcmpl-llm-router-openai,,57a10db9b65680b438993761e4f732008f916e2d0d1105eff5878aa043f7a862,ee1936563d15055318e22ddd9dd8fc35448fc422f31b3c88106961cb56bed03a,"""Minimum nurse-to-patient ratio of 1:4 versus other nurse staffing/skill mix patterns or nurse-management staffing methods""","Title asks about differences in outcomes by nurse staffing and skill mix patterns; abstract reports evidence supporting a minimum nurse-to-patient ratio of 1:4 and recommends augmenting it with other staffing/management methods, implying comparison between the 1:4 ratio and other staffing/skill-mix approaches.",208,368,,
extraction,EXT-01-3e7effe3d288,1,ci_lower,1,gpt-5-mini,gpt-5-mini,ok,1,2026-09-19T17:05:12.219399+00:00,2026-09-19T17:05:15.498144+00:00,3278,chatcmpl-llm-router-openai,,986b6c0739888bb4fcba4b7c4c05d890f02a7d1774b1161aeb33ff2027cff2b4,ee1936563d15055318e22ddd9dd8fc35448fc422f31b3c88106961cb56bed03a,0.48,From the first reported 95% CI (0.48–0.82) for OR = 0.63 in the abstract; lower bound = 0.48.,361,323,,
extraction,EXT-01-3e7effe3d288,1,ci_lower,2,gpt-5-mini,gpt-5-mini,ok,1,2026-09-19T17:05:13.290971+00:00,2026-09-19T17:05:17.995925+00:00,4704,chatcmpl-llm-router-openai,,986b6c0739888bb4fcba4b7c4c05d890f02a7d1774b1161aeb33ff2027cff2b4,ee1936563d15055318e22ddd9dd8fc35448fc422f31b3c88106961cb56bed03a,0.48,First reported 95% CI in abstract: 0.48-0.82 (lower bound = 0.48).,361,313,,
extraction,EXT-01-3e7effe3d288,1,ci_lower,3,gpt-5-mini,gpt-5-mini,ok,1,2026-09-19T17:05:13.717757+00:00,2026-09-19T17:05:17.309153+00:00,3591,chatcmpl-llm-router-openai,,986b6c0739888bb4fcba4b7c4c05d890f02a7d1774b1161aeb33ff2027cff2b4,ee1936563d15055318e22ddd9dd8fc35448fc422f31b3c88106961cb56bed03a,0.48,Lower bound of the first reported 95% CI (0.48-0.82) for OR = 0.63 in the abstract.,361,253,,
extraction,EXT-01-4d3f8bc82b5e,1,effect_size,1,gpt-5-mini,gpt-5-mini,ok,1,2026-09-19T17:06:12.342927+00:00,2026-09-19T17:06:14.996102+00:00,2653,chatcmpl-llm-router-openai,,dbcdbd9572ea38ba07d48c43760a9eea728ab2f8c833e83c74303a02c07e9cd8,ee1936563d15055318e22ddd9dd8fc35448fc422f31b3c88106961cb56bed03a,null,"No numerical effect size (e.g., odds ratio, mean difference, correlation, or similar) is reported in the title or abstract provided.",165,119,,
extraction,EXT-01-4d3f8bc82b5e,1,effect_size,2,gpt-5-mini,gpt-5-mini,ok,1,2026-09-19T17:06:12.465433+00:00,2026-09-19T17:06:14.851341+00:00,2385,chatcmpl-llm-router-openai,,dbcdbd9572ea38ba07d48c43760a9eea728ab2f8c833e83c74303a02c07e9cd8,ee1936563d15055318e22ddd9dd8fc35448fc422f31b3c88106961cb56bed03a,null,No numeric effect size reported in the title or abstract; only study design and sample size are given.,165,111,,
extraction,EXT-01-4d3f8bc82b5e,1,effect_size,3,gpt-5-mini,gpt-5-mini,ok,1,2026-09-19T17:06:12.831206+00:00,2026-09-19T17:06:15.514987+00:00,2683,chatcmpl-llm-router-openai,,dbcdbd9572ea38ba07d48c43760a9eea728ab2f8c833e83c74303a02c07e9cd8,ee1936563d15055318e22ddd9dd8fc35448fc422f31b3c88106961cb56bed03a,null,Effect size (numeric) not reported in the provided title and abstract.,165,169,,
extraction,EXT-01-4f22f8bf0a39,1,sample_size,1,gpt-5-mini,gpt-5-mini,ok,1,2026-09-19T17:11:32.601676+00:00,2026-09-19T17:11:35.961048+00:00,3359,chatcmpl-llm-router-openai,,4bb8a9578c094c8bb882e724416b3de781de0439f27b7ff8551a0de5b819c442,ee1936563d15055318e22ddd9dd8fc35448fc422f31b3c88106961cb56bed03a,459113.0,"Abstract reports data from 459,113 admitted patients (primary sample size for patient-level analyses).",250,177,,
extraction,EXT-01-4f22f8bf0a39,1,sample_size,2,gpt-5-mini,gpt-5-mini,ok,1,2026-09-19T17:11:32+00:00,2026-09-19T17:11:32+00:00,,chatcmpl-llm-router-openai,,4bb8a9578c094c8bb882e724416b3de781de0439f27b7ff8551a0de5b819c442,ee1936563d15055318e22ddd9dd8fc35448fc422f31b3c88106961cb56bed03a,"""459,113 patients and 111,342 nurses (403 hospitals)""","Abstract states data were on 459,113 admitted patients and 111,342 employed nurses in 403 hospitals.",250,321,,
