task,sample_id,case_id,field_name,attempted_calls,successful_calls,unique_successful_outputs,all_repeats_exactly_equal,null_state_stable,numeric_range,field_class,declared_type,historical_null_status
extraction,EXT-01-3b14f3a6cd35,1,comparison,3,3,3,false,false,,categorical,categorical,null
extraction,EXT-01-3e7effe3d288,1,ci_lower,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-01-4d3f8bc82b5e,1,effect_size,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-01-4f22f8bf0a39,1,sample_size,3,3,2,false,true,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-01-6c4628b565fa,1,outcome,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-01-74ff18794044,1,country,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-01-7896be00e53d,1,ci_lower,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-01-8169af27df40,1,study_design,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-01-83b7f91fb02b,1,comparison,3,3,2,false,true,,categorical,categorical,null
extraction,EXT-01-930e194a7cab,1,study_design,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-01-be33396abce8,1,study_design,3,3,3,false,true,,categorical,categorical,null
extraction,EXT-01-c90084204630,1,intervention,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-01-dea01b31ef80,1,ci_lower,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-01-e3532b460812,1,ci_upper,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-01-e8ff500847c7,1,sample_size,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-01-ed5aa669382f,1,country,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-01-f3a986476ff8,1,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-02-15ec72e1a207,2,effect_size,3,3,1,true,true,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-02-2129103436b8,2,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-02-46fc406a6ab2,2,outcome,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-02-52c29dd15375,2,intervention,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-02-80c57fb772f7,2,ci_lower,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-02-8f70af6699e9,2,sample_size,3,3,2,false,true,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-02-954b3d790b91,2,ci_upper,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-02-cd58cc5a4348,2,outcome,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-02-fba15fa47f9a,2,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-02-fd3ed22c8a46,2,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-02-fe951dbb9109,2,ci_lower,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-03-01a9cb7284c9,3,sample_size,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-03-0395076d83df,3,drug,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-03-0aed91fae3f9,3,drug,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-03-0ffcb0ef0cdf,3,follow_up_years,3,3,1,true,true,0.0,other_numeric,numeric,nonnull
extraction,EXT-03-2c463888b2fa,3,drug,3,3,3,false,true,,categorical,categorical,null
extraction,EXT-03-3371d815fb4c,3,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-03-3815dc5193a4,3,study_design,3,3,3,false,true,,categorical,categorical,nonnull
