case_id,slug,screened_records,historical_include_records,historical_exclude_records,historical_include_rate,accuracy_status
1,nurse_staffing_mortality,90,22,68,0.24444444444444444,pending_human_adjudication
2,mindfulness_anxiety,2803,72,2731,0.025686764181234393,pending_human_adjudication
3,glp1_cardiovascular,5945,841,5104,0.14146341463414633,pending_human_adjudication
4,ai_radiology_diagnosis,9929,2444,7485,0.24614764830295094,pending_human_adjudication
5,cash_transfers_education,4447,469,3978,0.10546435799415337,pending_human_adjudication
6,social_media_mental_health,3968,584,3384,0.14717741935483872,pending_human_adjudication
7,restorative_justice_recidivism,4102,77,4025,0.01877133105802048,pending_human_adjudication
8,gender_pay_gap,7708,308,7400,0.03995848469122989,pending_human_adjudication
9,intelligent_tutoring_scores,3962,580,3382,0.1463907117617365,pending_human_adjudication
10,game_based_learning_motivation,993,354,639,0.3564954682779456,pending_human_adjudication
11,class_size_achievement,4923,253,4670,0.05139142799106236,pending_human_adjudication
12,llm_higher_education,8633,1720,6913,0.19923549171782695,pending_human_adjudication
13,marine_protected_areas,3929,340,3589,0.08653601425299058,pending_human_adjudication
14,reforestation_carbon,3960,1086,2874,0.27424242424242423,pending_human_adjudication
15,indoor_air_pollution_health,5888,1350,4538,0.22927989130434784,pending_human_adjudication
16,microplastics_freshwater,7061,1694,5367,0.2399093612802719,pending_human_adjudication
17,llm_reasoning_benchmarks,999,394,605,0.3943943943943944,pending_human_adjudication
18,federated_learning_privacy,4886,2605,2281,0.533155955792059,pending_human_adjudication
19,ai_ethics_autonomous_systems,375,314,61,0.8373333333333334,pending_human_adjudication
20,deep_learning_predictive_maintenance,9921,3769,6152,0.3799012196351174,pending_human_adjudication
